policy,scheme,k,subsets,spearman_rho_diversity_global_vs_median_tvd,spearman_p_diversity_global_vs_median_tvd,spearman_rho_diversity_on_circuit_vs_median_tvd,spearman_p_diversity_on_circuit_vs_median_tvd,interpretation
aggregate_only_sync,confidence,2,10,0.1515151515151515,,0.06666666666666665,,negative rho is consistent with complementarity/noise averaging
aggregate_only_sync,confidence,3,10,-0.5515151515151515,,-0.6606060606060605,,negative rho is consistent with complementarity/noise averaging
aggregate_only_sync,confidence,4,5,0.39999999999999997,,0.39999999999999997,,negative rho is consistent with complementarity/noise averaging
aggregate_only_sync,shot_proportional,2,10,0.1515151515151515,,0.06666666666666665,,negative rho is consistent with complementarity/noise averaging
aggregate_only_sync,shot_proportional,3,10,-0.5515151515151515,,-0.6606060606060605,,negative rho is consistent with complementarity/noise averaging
aggregate_only_sync,shot_proportional,4,5,0.39999999999999997,,0.39999999999999997,,negative rho is consistent with complementarity/noise averaging
aggregate_only_sync,uniform,2,10,0.1515151515151515,,0.06666666666666665,,negative rho is consistent with complementarity/noise averaging
aggregate_only_sync,uniform,3,10,-0.5515151515151515,,-0.6606060606060605,,negative rho is consistent with complementarity/noise averaging
aggregate_only_sync,uniform,4,5,0.39999999999999997,,0.39999999999999997,,negative rho is consistent with complementarity/noise averaging
hierarchical_local_aggregate,confidence,2,10,-0.2727272727272727,,-0.309090909090909,,negative rho is consistent with complementarity/noise averaging
hierarchical_local_aggregate,confidence,3,10,-0.5151515151515151,,-0.6121212121212121,,negative rho is consistent with complementarity/noise averaging
hierarchical_local_aggregate,confidence,4,5,0.8999999999999998,,0.8999999999999998,,negative rho is consistent with complementarity/noise averaging
hierarchical_local_aggregate,shot_proportional,2,10,0.12727272727272726,,0.04242424242424241,,negative rho is consistent with complementarity/noise averaging
hierarchical_local_aggregate,shot_proportional,3,10,-0.5515151515151515,,-0.6606060606060605,,negative rho is consistent with complementarity/noise averaging
hierarchical_local_aggregate,shot_proportional,4,5,0.39999999999999997,,0.39999999999999997,,negative rho is consistent with complementarity/noise averaging
hierarchical_local_aggregate,uniform,2,10,0.12727272727272726,,0.04242424242424241,,negative rho is consistent with complementarity/noise averaging
hierarchical_local_aggregate,uniform,3,10,-0.5515151515151515,,-0.6606060606060605,,negative rho is consistent with complementarity/noise averaging
hierarchical_local_aggregate,uniform,4,5,0.39999999999999997,,0.39999999999999997,,negative rho is consistent with complementarity/noise averaging
local_only_offline_aggregate,confidence,2,10,0.5515151515151515,,0.5757575757575757,,negative rho is consistent with complementarity/noise averaging
local_only_offline_aggregate,confidence,3,10,0.32121212121212117,,0.17575757575757575,,negative rho is consistent with complementarity/noise averaging
local_only_offline_aggregate,confidence,4,5,0.6,,0.6,,negative rho is consistent with complementarity/noise averaging
local_only_offline_aggregate,shot_proportional,2,10,0.7818181818181817,,0.7696969696969697,,negative rho is consistent with complementarity/noise averaging
local_only_offline_aggregate,shot_proportional,3,10,0.35757575757575755,,0.22424242424242422,,negative rho is consistent with complementarity/noise averaging
local_only_offline_aggregate,shot_proportional,4,5,0.09999999999999999,,0.09999999999999999,,negative rho is consistent with complementarity/noise averaging
local_only_offline_aggregate,uniform,2,10,0.6363636363636362,,0.6121212121212121,,negative rho is consistent with complementarity/noise averaging
local_only_offline_aggregate,uniform,3,10,0.3939393939393939,,0.28484848484848485,,negative rho is consistent with complementarity/noise averaging
local_only_offline_aggregate,uniform,4,5,0.3,,0.3,,negative rho is consistent with complementarity/noise averaging
