fixed_budget,k,experiments,circuit_configs,subsets,median_tvd,q25_tvd,q75_tvd,iqr_tvd,mean_tvd,max_tvd,median_ssr,mean_ssr,median_parallel_ssr,median_tvd_ci_low,median_tvd_ci_high
1000,1,360,72,5,0.12662499999999954,0.0522375,0.3906624999999974,0.3384249999999974,0.2691913888889263,0.9226500000005108,0.95,0.95,0.95,0.09844187499999996,0.14541562499999908
1000,2,720,72,10,0.0908375,0.03873749999999992,0.2889125000000238,0.25017500000002385,0.22063927083334559,0.8950000000000637,0.95,0.95,0.95,0.07831937499999907,0.09963906249999999
1000,3,720,72,10,0.0745416666666667,0.03265416666666665,0.24677083333332744,0.2141166666666608,0.19373000000003543,0.8675333333339851,0.95,0.95,0.95,0.06663333333333335,0.08278333333333288
1000,4,360,72,5,0.0644249999999996,0.02830624999999991,0.2216343750000156,0.19332812500001567,0.17508197916665785,0.8404374999997224,0.95,0.95,0.95,0.054965156249999994,0.08072499999999873
1000,5,72,72,1,0.05909500000000002,0.025310000000000017,0.19880000000000211,0.1734900000000021,0.1611819444444442,0.813499999999974,0.95,0.9500000000000001,0.95,0.038368249999999895,0.08615
2500,1,360,72,5,0.0769999999999991,0.03292499999999999,0.23982499999999923,0.20689999999999925,0.19122777777779845,0.81320000000037,0.875,0.875,0.875,0.06146624999999979,0.09354999999999876
2500,2,720,72,10,0.05580000000000002,0.024987499999999923,0.18690624999999522,0.1619187499999953,0.1507726388888961,0.7532500000000604,0.875,0.875,0.875,0.04854999999999963,0.06209999999999998
2500,3,720,72,10,0.04533333333333335,0.02105416666666668,0.16114583333332777,0.1400916666666611,0.12849032407408914,0.6977333333337422,0.875,0.875,0.875,0.041458333333333194,0.05103541666666606
2500,4,360,72,5,0.03964374999999972,0.019024999999999903,0.1430625000000039,0.12403750000000399,0.1136558333333323,0.6448874999998828,0.875,0.875,0.875,0.03406249999999967,0.04966468749999989
2500,5,72,72,1,0.03572000000000003,0.01671250000000003,0.12682500000000163,0.1101125000000016,0.10278152777777631,0.595309999999959,0.875,0.875,0.875,0.02432000000000017,0.051959999999999985
5000,1,360,72,5,0.05149999999999971,0.02205000000000003,0.16257499999999675,0.1405249999999967,0.13343666666667034,0.6456500000001554,0.75,0.75,0.75,0.040523124999999896,0.06285000000000003
5000,2,720,72,10,0.037412499999999994,0.016606250000000003,0.12893124999999633,0.11232499999999633,0.1017972222222297,0.5582000000001236,0.75,0.75,0.75,0.03274999999999965,0.04212937499999963
