policy,scheme,k,experiments,circuit_configs,subsets,median_tvd,q25_tvd,q75_tvd,iqr_tvd,mean_tvd,max_tvd,median_ssr,q25_ssr,q75_ssr,iqr_ssr,mean_ssr,median_parallel_ssr,mean_parallel_ssr,median_tvd_ci_low,median_tvd_ci_high,median_ssr_ci_low,median_ssr_ci_high,median_parallel_ssr_ci_low,median_parallel_ssr_ci_high
aggregate_only_sync,confidence,1,360,72,5,0.018715845070422565,0.0,0.026849999999999992,0.026849999999999992,0.01653126160583024,0.04729042553191467,0.5462499999999999,0.0,0.7875,0.7875,0.44480555555555557,0.5462499999999999,0.44480555555555557,0.016047674418604663,0.02096204794560686,0.43625,0.6174999999999999,0.43625,0.62
aggregate_only_sync,confidence,2,720,72,10,0.019424264705882335,0.0,0.02580322871572862,0.02580322871572862,0.016633751924071002,0.04291197183098536,0.655,0.0,0.835625,0.835625,0.5050833333333333,0.655,0.5050833333333333,0.01834315020817068,0.020463043478260882,0.6074687499999999,0.7012499999999999,0.6074999999999999,0.7012499999999999
aggregate_only_sync,confidence,3,720,72,10,0.01863255451713398,0.006224640439932287,0.025615852130325835,0.019391211690393546,0.01685457226772295,0.044586486486487366,0.7025,0.09874999999999998,0.86,0.76125,0.5424826388888888,0.7025,0.5424826388888888,0.01780634057971013,0.020197674418604636,0.6699999999999999,0.75125,0.6699999999999999,0.7525312499999998
aggregate_only_sync,confidence,4,360,72,5,0.01938614130434782,0.005852935606060606,0.025440741459627325,0.019587805853566717,0.01669591948903159,0.04338181818181993,0.74,0.201875,0.875625,0.67375,0.5687361111111111,0.74,0.5687361111111111,0.017584212622548948,0.020708834745762683,0.7125,0.7825,0.7125,0.7887500000000001
aggregate_only_sync,confidence,5,72,72,1,0.019063840579710202,0.008871314304680761,0.02524892043751874,0.01637760613283798,0.01669817938734204,0.04236730496454024,0.76625,0.285,0.88125,0.59625,0.5886458333333334,0.76625,0.5886458333333334,0.01422062499999998,0.021174935897435885,0.6174999999999999,0.835,0.59375,0.83375
aggregate_only_sync,shot_proportional,1,360,72,5,0.018715845070422565,0.0,0.026849999999999992,0.026849999999999992,0.01653126160583024,0.04729042553191467,0.5462499999999999,0.0,0.7875,0.7875,0.44480555555555557,0.5462499999999999,0.44480555555555557,0.016508641130870957,0.020780391232903123,0.44115625,0.6174999999999999,0.4375,0.62
aggregate_only_sync,shot_proportional,2,720,72,10,0.019424264705882335,0.0,0.02580322871572862,0.02580322871572862,0.016633751924071002,0.04291197183098536,0.655,0.0,0.835625,0.835625,0.5050833333333333,0.655,0.5050833333333333,0.01834404005659644,0.020463279370952832,0.6074999999999999,0.7000312499999998,0.605,0.7
aggregate_only_sync,shot_proportional,3,720,72,10,0.01863255451713398,0.006224640439932287,0.025615852130325835,0.019391211690393546,0.01685457226772295,0.044586486486487366,0.7025,0.09874999999999998,0.86,0.76125,0.5424826388888888,0.7025,0.5424826388888888,0.017793197278911578,0.020198072078115664,0.6699999999999999,0.74375,0.6712499999999999,0.75125
aggregate_only_sync,shot_proportional,4,360,72,5,0.01938614130434782,0.005852935606060606,0.025440741459627325,0.019587805853566717,0.01669591948903159,0.04338181818181993,0.74,0.201875,0.875625,0.67375,0.5687361111111111,0.74,0.5687361111111111,0.017564338235294116,0.02076854838709669,0.71246875,0.795,0.7112499999999999,0.79375
aggregate_only_sync,shot_proportional,5,72,72,1,0.019063840579710202,0.008871314304680761,0.02524892043751874,0.01637760613283798,0.01669817938734204,0.04236730496454024,0.76625,0.285,0.88125,0.59625,0.5886458333333334,0.76625,0.5886458333333334,0.014221666666666646,0.021174935897435885,0.63125,0.835,0.6010625,0.8325
aggregate_only_sync,uniform,1,360,72,5,0.018715845070422565,0.0,0.026849999999999992,0.026849999999999992,0.01653126160583024,0.04729042553191467,0.5462499999999999,0.0,0.7875,0.7875,0.44480555555555557,0.5462499999999999,0.44480555555555557,0.01602789757412401,0.02096204794560686,0.4375,0.62,0.4375,0.62
aggregate_only_sync,uniform,2,720,72,10,0.019424264705882335,0.0,0.02580322871572862,0.02580322871572862,0.016633751924071002,0.04291197183098536,0.655,0.0,0.835625,0.835625,0.5050833333333333,0.655,0.5050833333333333,0.018331443533697596,0.020463279370952832,0.6074999999999999,0.7,0.6074999999999999,0.7
aggregate_only_sync,uniform,3,720,72,10,0.01863255451713398,0.006224640439932287,0.025615852130325835,0.019391211690393546,0.01685457226772295,0.044586486486487366,0.7025,0.09874999999999998,0.86,0.76125,0.5424826388888888,0.7025,0.5424826388888888,0.017815587095809018,0.020129911419716304,0.6712499999999999,0.74875,0.6699999999999999,0.74375
aggregate_only_sync,uniform,4,360,72,5,0.01938614130434782,0.005852935606060606,0.025440741459627325,0.019587805853566717,0.01669591948903159,0.04338181818181993,0.74,0.201875,0.875625,0.67375,0.5687361111111111,0.74,0.5687361111111111,0.01771105085784307,0.020644279661016753,0.71246875,0.7925,0.7112499999999999,0.7925
aggregate_only_sync,uniform,5,72,72,1,0.019063840579710202,0.008871314304680761,0.02524892043751874,0.01637760613283798,0.01669817938734204,0.04236730496454024,0.76625,0.285,0.88125,0.59625,0.5886458333333334,0.76625,0.5886458333333334,0.01426333333333332,0.021174935897435885,0.6174999999999999,0.83375,0.59359375,0.8325
hierarchical_local_aggregate,confidence,1,360,72,5,0.018715845070422565,0.0,0.026849999999999992,0.026849999999999992,0.01653126160583024,0.04729042553191467,0.5462499999999999,0.0,0.7875,0.7875,0.44480555555555557,0.5462499999999999,0.44480555555555557,0.016966501529937623,0.020780391232903123,0.43621875000000004,0.62,0.44125000000000003,0.62
hierarchical_local_aggregate,confidence,2,720,72,10,0.0194766381337897,0.0,0.025774651027085455,0.025774651027085455,0.01648399189817511,0.042854851620315944,0.655,0.0,0.84,0.84,0.5064375,0.655,0.5059270833333334,0.018337578972888954,0.02029269296251799,0.6062187499999999,0.7050000000000001,0.60375,0.7025
hierarchical_local_aggregate,confidence,3,720,72,10,0.018647609461414978,0.006573856446561452,0.025426940452886522,0.01885308400632507,0.016546049418439283,0.04293703575195532,0.7050000000000001,0.09874999999999998,0.86,0.76125,0.5430185185185186,0.7025,0.5427986111111112,0.01787631245146255,0.019817058412283883,0.6725,0.7520833333333333,0.6699999999999999,0.755
hierarchical_local_aggregate,confidence,4,360,72,5,0.01932628828471397,0.006734217614045478,0.024993998009492667,0.01825978039544719,0.016363726036886225,0.04183340954794317,0.74,0.201875,0.875625,0.67375,0.568814236111111,0.74,0.5687430555555556,0.01759950777192177,0.020360965368527953,0.7112499999999999,0.7881406249999999,0.7125,0.79375
