circuit_key,algorithm,size,circuit_kind,config_id,scheme,k,subset_key,backends,backend_labels,weights,per_backend_shots,per_backend_last_stability_tvd,per_backend_stop_reason,per_backend_checks_performed,adaptive_shots_total,reference_shots_total,shots_saved,ssr,parallel_ssr,tvd,diversity_global,diversity_on_circuit
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,uniform,1,fake_fez,"[""fake_fez""]","[""fez""]",[1.0],"{""fake_fez"": 2800}","{""fake_fez"": 0.0032749326145552317}","{""fake_fez"": ""stable""}","{""fake_fez"": 53}",2800,20000,17200,0.86,0.86,0.025114285714285714,,
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,shot_proportional,1,fake_fez,"[""fake_fez""]","[""fez""]",[1.0],"{""fake_fez"": 2800}","{""fake_fez"": 0.0032749326145552317}","{""fake_fez"": ""stable""}","{""fake_fez"": 53}",2800,20000,17200,0.86,0.86,0.025114285714285714,,
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,confidence,1,fake_fez,"[""fake_fez""]","[""fez""]",[1.0],"{""fake_fez"": 2800}","{""fake_fez"": 0.0032749326145552317}","{""fake_fez"": ""stable""}","{""fake_fez"": 53}",2800,20000,17200,0.86,0.86,0.025114285714285714,,
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,uniform,1,fake_kyiv,"[""fake_kyiv""]","[""kyiv""]",[1.0],"{""fake_kyiv"": 4500}","{""fake_kyiv"": 0.003915708812260455}","{""fake_kyiv"": ""stable""}","{""fake_kyiv"": 87}",4500,20000,15500,0.775,0.775,0.029733333333333386,,
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,shot_proportional,1,fake_kyiv,"[""fake_kyiv""]","[""kyiv""]",[1.0],"{""fake_kyiv"": 4500}","{""fake_kyiv"": 0.003915708812260455}","{""fake_kyiv"": ""stable""}","{""fake_kyiv"": 87}",4500,20000,15500,0.775,0.775,0.029733333333333386,,
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,confidence,1,fake_kyiv,"[""fake_kyiv""]","[""kyiv""]",[1.0],"{""fake_kyiv"": 4500}","{""fake_kyiv"": 0.003915708812260455}","{""fake_kyiv"": ""stable""}","{""fake_kyiv"": 87}",4500,20000,15500,0.775,0.775,0.029733333333333386,,
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,uniform,1,fake_marrakesh,"[""fake_marrakesh""]","[""marrakesh""]",[1.0],"{""fake_marrakesh"": 2550}","{""fake_marrakesh"": 0.0033333333333332993}","{""fake_marrakesh"": ""stable""}","{""fake_marrakesh"": 48}",2550,20000,17450,0.8725,0.8725,0.022343137254901963,,
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,shot_proportional,1,fake_marrakesh,"[""fake_marrakesh""]","[""marrakesh""]",[1.0],"{""fake_marrakesh"": 2550}","{""fake_marrakesh"": 0.0033333333333332993}","{""fake_marrakesh"": ""stable""}","{""fake_marrakesh"": 48}",2550,20000,17450,0.8725,0.8725,0.022343137254901963,,
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,confidence,1,fake_marrakesh,"[""fake_marrakesh""]","[""marrakesh""]",[1.0],"{""fake_marrakesh"": 2550}","{""fake_marrakesh"": 0.0033333333333332993}","{""fake_marrakesh"": ""stable""}","{""fake_marrakesh"": 48}",2550,20000,17450,0.8725,0.8725,0.022343137254901963,,
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,uniform,1,fake_sherbrooke,"[""fake_sherbrooke""]","[""sherbrooke""]",[1.0],"{""fake_sherbrooke"": 4400}","{""fake_sherbrooke"": 0.004010695187165757}","{""fake_sherbrooke"": ""stable""}","{""fake_sherbrooke"": 85}",4400,20000,15600,0.78,0.78,0.026481818181818186,,
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,shot_proportional,1,fake_sherbrooke,"[""fake_sherbrooke""]","[""sherbrooke""]",[1.0],"{""fake_sherbrooke"": 4400}","{""fake_sherbrooke"": 0.004010695187165757}","{""fake_sherbrooke"": ""stable""}","{""fake_sherbrooke"": 85}",4400,20000,15600,0.78,0.78,0.026481818181818186,,
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,confidence,1,fake_sherbrooke,"[""fake_sherbrooke""]","[""sherbrooke""]",[1.0],"{""fake_sherbrooke"": 4400}","{""fake_sherbrooke"": 0.004010695187165757}","{""fake_sherbrooke"": ""stable""}","{""fake_sherbrooke"": 85}",4400,20000,15600,0.78,0.78,0.026481818181818186,,
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,uniform,1,fake_torino,"[""fake_torino""]","[""torino""]",[1.0],"{""fake_torino"": 4450}","{""fake_torino"": 0.0030441599163835925}","{""fake_torino"": ""stable""}","{""fake_torino"": 86}",4450,20000,15550,0.7775,0.7775,0.031191573033707908,,
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,shot_proportional,1,fake_torino,"[""fake_torino""]","[""torino""]",[1.0],"{""fake_torino"": 4450}","{""fake_torino"": 0.0030441599163835925}","{""fake_torino"": ""stable""}","{""fake_torino"": 86}",4450,20000,15550,0.7775,0.7775,0.031191573033707908,,
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,confidence,1,fake_torino,"[""fake_torino""]","[""torino""]",[1.0],"{""fake_torino"": 4450}","{""fake_torino"": 0.0030441599163835925}","{""fake_torino"": ""stable""}","{""fake_torino"": 86}",4450,20000,15550,0.7775,0.7775,0.031191573033707908,,
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,uniform,2,fake_fez+fake_kyiv,"[""fake_fez"", ""fake_kyiv""]","[""fez"", ""kyiv""]","[0.5, 0.5]","{""fake_fez"": 2800, ""fake_kyiv"": 4500}","{""fake_fez"": 0.0032749326145552317, ""fake_kyiv"": 0.003915708812260455}","{""fake_fez"": ""stable"", ""fake_kyiv"": ""stable""}","{""fake_fez"": 53, ""fake_kyiv"": 87}",7300,40000,32700,0.8175,0.775,0.020100396825396702,0.19014999999999996,0.12189999999999977
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,shot_proportional,2,fake_fez+fake_kyiv,"[""fake_fez"", ""fake_kyiv""]","[""fez"", ""kyiv""]","[0.3835616438356164, 0.6164383561643836]","{""fake_fez"": 2800, ""fake_kyiv"": 4500}","{""fake_fez"": 0.0032749326145552317, ""fake_kyiv"": 0.003915708812260455}","{""fake_fez"": ""stable"", ""fake_kyiv"": ""stable""}","{""fake_fez"": 53, ""fake_kyiv"": 87}",7300,40000,32700,0.8175,0.775,0.02047465753424657,0.19014999999999996,0.12189999999999977
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,confidence,2,fake_fez+fake_kyiv,"[""fake_fez"", ""fake_kyiv""]","[""fez"", ""kyiv""]","[0.5445562613729846, 0.45544373862701526]","{""fake_fez"": 2800, ""fake_kyiv"": 4500}","{""fake_fez"": 0.0032749326145552317, ""fake_kyiv"": 0.003915708812260455}","{""fake_fez"": ""stable"", ""fake_kyiv"": ""stable""}","{""fake_fez"": 53, ""fake_kyiv"": 87}",7300,40000,32700,0.8175,0.775,0.02030235071674051,0.19014999999999996,0.12189999999999977
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,uniform,2,fake_fez+fake_marrakesh,"[""fake_fez"", ""fake_marrakesh""]","[""fez"", ""marrakesh""]","[0.5, 0.5]","{""fake_fez"": 2800, ""fake_marrakesh"": 2550}","{""fake_fez"": 0.0032749326145552317, ""fake_marrakesh"": 0.0033333333333332993}","{""fake_fez"": ""stable"", ""fake_marrakesh"": ""stable""}","{""fake_fez"": 53, ""fake_marrakesh"": 48}",5350,40000,34650,0.86625,0.86,0.02015952380952374,0.12852777777777777,0.01794999999999997
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,shot_proportional,2,fake_fez+fake_marrakesh,"[""fake_fez"", ""fake_marrakesh""]","[""fez"", ""marrakesh""]","[0.5233644859813084, 0.4766355140186916]","{""fake_fez"": 2800, ""fake_marrakesh"": 2550}","{""fake_fez"": 0.0032749326145552317, ""fake_marrakesh"": 0.0033333333333332993}","{""fake_fez"": ""stable"", ""fake_marrakesh"": ""stable""}","{""fake_fez"": 53, ""fake_marrakesh"": 48}",5350,40000,34650,0.86625,0.86,0.02021682242990647,0.12852777777777777,0.01794999999999997
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,confidence,2,fake_fez+fake_marrakesh,"[""fake_fez"", ""fake_marrakesh""]","[""fez"", ""marrakesh""]","[0.5044187627464303, 0.49558123725356973]","{""fake_fez"": 2800, ""fake_marrakesh"": 2550}","{""fake_fez"": 0.0032749326145552317, ""fake_marrakesh"": 0.0033333333333332993}","{""fake_fez"": ""stable"", ""fake_marrakesh"": ""stable""}","{""fake_fez"": 53, ""fake_marrakesh"": 48}",5350,40000,34650,0.86625,0.86,0.02017036029911618,0.12852777777777777,0.01794999999999997
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,uniform,2,fake_fez+fake_sherbrooke,"[""fake_fez"", ""fake_sherbrooke""]","[""fez"", ""sherbrooke""]","[0.5, 0.5]","{""fake_fez"": 2800, ""fake_sherbrooke"": 4400}","{""fake_fez"": 0.0032749326145552317, ""fake_sherbrooke"": 0.004010695187165757}","{""fake_fez"": ""stable"", ""fake_sherbrooke"": ""stable""}","{""fake_fez"": 53, ""fake_sherbrooke"": 85}",7200,40000,32800,0.8200000000000001,0.78,0.018892207792207707,0.18339513888888895,0.11284999999999985
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,shot_proportional,2,fake_fez+fake_sherbrooke,"[""fake_fez"", ""fake_sherbrooke""]","[""fez"", ""sherbrooke""]","[0.3888888888888889, 0.6111111111111112]","{""fake_fez"": 2800, ""fake_sherbrooke"": 4400}","{""fake_fez"": 0.0032749326145552317, ""fake_sherbrooke"": 0.004010695187165757}","{""fake_fez"": ""stable"", ""fake_sherbrooke"": ""stable""}","{""fake_fez"": 53, ""fake_sherbrooke"": 85}",7200,40000,32800,0.8200000000000001,0.78,0.019508333333333305,0.18339513888888895,0.11284999999999985
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,confidence,2,fake_fez+fake_sherbrooke,"[""fake_fez"", ""fake_sherbrooke""]","[""fez"", ""sherbrooke""]","[0.550494109267888, 0.44950589073211195]","{""fake_fez"": 2800, ""fake_sherbrooke"": 4400}","{""fake_fez"": 0.0032749326145552317, ""fake_sherbrooke"": 0.004010695187165757}","{""fake_fez"": ""stable"", ""fake_sherbrooke"": ""stable""}","{""fake_fez"": 53, ""fake_sherbrooke"": 85}",7200,40000,32800,0.8200000000000001,0.78,0.018910766537080403,0.18339513888888895,0.11284999999999985
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,uniform,2,fake_fez+fake_torino,"[""fake_fez"", ""fake_torino""]","[""fez"", ""torino""]","[0.5, 0.5]","{""fake_fez"": 2800, ""fake_torino"": 4450}","{""fake_fez"": 0.0032749326145552317, ""fake_torino"": 0.0030441599163835925}","{""fake_fez"": ""stable"", ""fake_torino"": ""stable""}","{""fake_fez"": 53, ""fake_torino"": 86}",7250,40000,32750,0.81875,0.7775,0.01874317817014444,0.15611666666666663,0.09539999999999987
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,shot_proportional,2,fake_fez+fake_torino,"[""fake_fez"", ""fake_torino""]","[""fez"", ""torino""]","[0.38620689655172413, 0.6137931034482759]","{""fake_fez"": 2800, ""fake_torino"": 4450}","{""fake_fez"": 0.0032749326145552317, ""fake_torino"": 0.0030441599163835925}","{""fake_fez"": ""stable"", ""fake_torino"": ""stable""}","{""fake_fez"": 53, ""fake_torino"": 86}",7250,40000,32750,0.81875,0.7775,0.020752068965517317,0.15611666666666663,0.09539999999999987
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,confidence,2,fake_fez+fake_torino,"[""fake_fez"", ""fake_torino""]","[""fez"", ""torino""]","[0.48174004439389384, 0.518259955606106]","{""fake_fez"": 2800, ""fake_torino"": 4450}","{""fake_fez"": 0.0032749326145552317, ""fake_torino"": 0.0030441599163835925}","{""fake_fez"": ""stable"", ""fake_torino"": ""stable""}","{""fake_fez"": 53, ""fake_torino"": 86}",7250,40000,32750,0.81875,0.7775,0.019034958295042703,0.15611666666666663,0.09539999999999987
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,uniform,2,fake_kyiv+fake_marrakesh,"[""fake_kyiv"", ""fake_marrakesh""]","[""kyiv"", ""marrakesh""]","[0.5, 0.5]","{""fake_kyiv"": 4500, ""fake_marrakesh"": 2550}","{""fake_kyiv"": 0.003915708812260455, ""fake_marrakesh"": 0.0033333333333332993}","{""fake_kyiv"": ""stable"", ""fake_marrakesh"": ""stable""}","{""fake_kyiv"": 87, ""fake_marrakesh"": 48}",7050,40000,32950,0.82375,0.775,0.015690032679738536,0.21529583333333357,0.12849999999999995
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,shot_proportional,2,fake_kyiv+fake_marrakesh,"[""fake_kyiv"", ""fake_marrakesh""]","[""kyiv"", ""marrakesh""]","[0.6382978723404256, 0.3617021276595745]","{""fake_kyiv"": 4500, ""fake_marrakesh"": 2550}","{""fake_kyiv"": 0.003915708812260455, ""fake_marrakesh"": 0.0033333333333332993}","{""fake_kyiv"": ""stable"", ""fake_marrakesh"": ""stable""}","{""fake_kyiv"": 87, ""fake_marrakesh"": 48}",7050,40000,32950,0.82375,0.775,0.018558510638297897,0.21529583333333357,0.12849999999999995
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,confidence,2,fake_kyiv+fake_marrakesh,"[""fake_kyiv"", ""fake_marrakesh""]","[""kyiv"", ""marrakesh""]","[0.4598308668076136, 0.5401691331923864]","{""fake_kyiv"": 4500, ""fake_marrakesh"": 2550}","{""fake_kyiv"": 0.003915708812260455, ""fake_marrakesh"": 0.0033333333333332993}","{""fake_kyiv"": ""stable"", ""fake_marrakesh"": ""stable""}","{""fake_kyiv"": 87, ""fake_marrakesh"": 48}",7050,40000,32950,0.82375,0.775,0.015476421879533993,0.21529583333333357,0.12849999999999995
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,uniform,2,fake_kyiv+fake_sherbrooke,"[""fake_kyiv"", ""fake_sherbrooke""]","[""kyiv"", ""sherbrooke""]","[0.5, 0.5]","{""fake_kyiv"": 4500, ""fake_sherbrooke"": 4400}","{""fake_kyiv"": 0.003915708812260455, ""fake_sherbrooke"": 0.004010695187165757}","{""fake_kyiv"": ""stable"", ""fake_sherbrooke"": ""stable""}","{""fake_kyiv"": 87, ""fake_sherbrooke"": 85}",8900,40000,31100,0.7775,0.775,0.017547222222222165,0.1422180555555557,0.03889999999999996
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,shot_proportional,2,fake_kyiv+fake_sherbrooke,"[""fake_kyiv"", ""fake_sherbrooke""]","[""kyiv"", ""sherbrooke""]","[0.5056179775280899, 0.4943820224719101]","{""fake_kyiv"": 4500, ""fake_sherbrooke"": 4400}","{""fake_kyiv"": 0.003915708812260455, ""fake_sherbrooke"": 0.004010695187165757}","{""fake_kyiv"": ""stable"", ""fake_sherbrooke"": ""stable""}","{""fake_kyiv"": 87, ""fake_sherbrooke"": 85}",8900,40000,31100,0.7775,0.775,0.01757977528089892,0.1422180555555557,0.03889999999999996
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,confidence,2,fake_kyiv+fake_sherbrooke,"[""fake_kyiv"", ""fake_sherbrooke""]","[""kyiv"", ""sherbrooke""]","[0.5059917697175276, 0.4940082302824725]","{""fake_kyiv"": 4500, ""fake_sherbrooke"": 4400}","{""fake_kyiv"": 0.003915708812260455, ""fake_sherbrooke"": 0.004010695187165757}","{""fake_kyiv"": ""stable"", ""fake_sherbrooke"": ""stable""}","{""fake_kyiv"": 87, ""fake_sherbrooke"": 85}",8900,40000,31100,0.7775,0.775,0.017582159621986077,0.1422180555555557,0.03889999999999996
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,uniform,2,fake_kyiv+fake_torino,"[""fake_kyiv"", ""fake_torino""]","[""kyiv"", ""torino""]","[0.5, 0.5]","{""fake_kyiv"": 4500, ""fake_torino"": 4450}","{""fake_kyiv"": 0.003915708812260455, ""fake_torino"": 0.0030441599163835925}","{""fake_kyiv"": ""stable"", ""fake_torino"": ""stable""}","{""fake_kyiv"": 87, ""fake_torino"": 86}",8950,40000,31050,0.77625,0.775,0.02024294631710353,0.15390555555555568,0.04324999999999999
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,shot_proportional,2,fake_kyiv+fake_torino,"[""fake_kyiv"", ""fake_torino""]","[""kyiv"", ""torino""]","[0.5027932960893855, 0.4972067039106145]","{""fake_kyiv"": 4500, ""fake_torino"": 4450}","{""fake_kyiv"": 0.003915708812260455, ""fake_torino"": 0.0030441599163835925}","{""fake_kyiv"": ""stable"", ""fake_torino"": ""stable""}","{""fake_kyiv"": 87, ""fake_torino"": 86}",8950,40000,31050,0.77625,0.775,0.02022206703910612,0.15390555555555568,0.04324999999999999
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,confidence,2,fake_kyiv+fake_torino,"[""fake_kyiv"", ""fake_torino""]","[""kyiv"", ""torino""]","[0.43738754782184947, 0.5626124521781506]","{""fake_kyiv"": 4500, ""fake_torino"": 4450}","{""fake_kyiv"": 0.003915708812260455, ""fake_torino"": 0.0030441599163835925}","{""fake_kyiv"": ""stable"", ""fake_torino"": ""stable""}","{""fake_kyiv"": 87, ""fake_torino"": 86}",8950,40000,31050,0.77625,0.775,0.020891459417098492,0.15390555555555568,0.04324999999999999
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,uniform,2,fake_marrakesh+fake_sherbrooke,"[""fake_marrakesh"", ""fake_sherbrooke""]","[""marrakesh"", ""sherbrooke""]","[0.5, 0.5]","{""fake_marrakesh"": 2550, ""fake_sherbrooke"": 4400}","{""fake_marrakesh"": 0.0033333333333332993, ""fake_sherbrooke"": 0.004010695187165757}","{""fake_marrakesh"": ""stable"", ""fake_sherbrooke"": ""stable""}","{""fake_marrakesh"": 48, ""fake_sherbrooke"": 85}",6950,40000,33050,0.82625,0.78,0.020736987522281508,0.20787708333333357,0.11894999999999982
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,shot_proportional,2,fake_marrakesh+fake_sherbrooke,"[""fake_marrakesh"", ""fake_sherbrooke""]","[""marrakesh"", ""sherbrooke""]","[0.3669064748201439, 0.6330935251798561]","{""fake_marrakesh"": 2550, ""fake_sherbrooke"": 4400}","{""fake_marrakesh"": 0.0033333333333332993, ""fake_sherbrooke"": 0.004010695187165757}","{""fake_marrakesh"": ""stable"", ""fake_sherbrooke"": ""stable""}","{""fake_marrakesh"": 48, ""fake_sherbrooke"": 85}",6950,40000,33050,0.82625,0.78,0.021830935251798512,0.20787708333333357,0.11894999999999982
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,confidence,2,fake_marrakesh+fake_sherbrooke,"[""fake_marrakesh"", ""fake_sherbrooke""]","[""marrakesh"", ""sherbrooke""]","[0.5461165048543704, 0.45388349514562965]","{""fake_marrakesh"": 2550, ""fake_sherbrooke"": 4400}","{""fake_marrakesh"": 0.0033333333333332993, ""fake_sherbrooke"": 0.004010695187165757}","{""fake_marrakesh"": ""stable"", ""fake_sherbrooke"": ""stable""}","{""fake_marrakesh"": 48, ""fake_sherbrooke"": 85}",6950,40000,33050,0.82625,0.78,0.02047383637921182,0.20787708333333357,0.11894999999999982
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,uniform,2,fake_marrakesh+fake_torino,"[""fake_marrakesh"", ""fake_torino""]","[""marrakesh"", ""torino""]","[0.5, 0.5]","{""fake_marrakesh"": 2550, ""fake_torino"": 4450}","{""fake_marrakesh"": 0.0033333333333332993, ""fake_torino"": 0.0030441599163835925}","{""fake_marrakesh"": ""stable"", ""fake_torino"": ""stable""}","{""fake_marrakesh"": 48, ""fake_torino"": 86}",7000,40000,33000,0.825,0.7775,0.019823039215686237,0.17869652777777756,0.10149999999999977
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,shot_proportional,2,fake_marrakesh+fake_torino,"[""fake_marrakesh"", ""fake_torino""]","[""marrakesh"", ""torino""]","[0.36428571428571427, 0.6357142857142857]","{""fake_marrakesh"": 2550, ""fake_torino"": 4450}","{""fake_marrakesh"": 0.0033333333333332993, ""fake_torino"": 0.0030441599163835925}","{""fake_marrakesh"": ""stable"", ""fake_torino"": ""stable""}","{""fake_marrakesh"": 48, ""fake_torino"": 86}",7000,40000,33000,0.825,0.7775,0.021775714285714183,0.17869652777777756,0.10149999999999977
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,confidence,2,fake_marrakesh+fake_torino,"[""fake_marrakesh"", ""fake_torino""]","[""marrakesh"", ""torino""]","[0.4773285987435154, 0.5226714012564845]","{""fake_marrakesh"": 2550, ""fake_torino"": 4450}","{""fake_marrakesh"": 0.0033333333333332993, ""fake_torino"": 0.0030441599163835925}","{""fake_marrakesh"": ""stable"", ""fake_torino"": ""stable""}","{""fake_marrakesh"": 48, ""fake_torino"": 86}",7000,40000,33000,0.825,0.7775,0.020046441425518494,0.17869652777777756,0.10149999999999977
