trace_id,algorithm,size,backend,reference_shots,floor_mean_tvd_20k_vs_20k,floor_ci2p5_tvd_20k_vs_20k,floor_ci50_tvd_20k_vs_20k,floor_ci97p5_tvd_20k_vs_20k
dj_10_fake_fez,dj,10,fake_fez,20000,0.012334499999999998,0.009350000000000018,0.012100000000000036,0.016381250000000007
dj_10_fake_kyiv,dj,10,fake_kyiv,20000,0.019495400000000003,0.015400000000000014,0.019399999999999987,0.024426249999999997
dj_10_fake_marrakesh,dj,10,fake_marrakesh,20000,0.0115983,0.008799999999999985,0.011400000000000006,0.0154
dj_10_fake_sherbrooke,dj,10,fake_sherbrooke,20000,0.019273799999999997,0.015473749999999974,0.018999999999999975,0.02395249999999998
dj_10_fake_torino,dj,10,fake_torino,20000,0.0172839,0.013673749999999997,0.01715000000000002,0.021852499999999987
dj_11_fake_fez,dj,11,fake_fez,20000,0.0149333,0.011849999999999966,0.014800000000000025,0.018976250000000004
dj_11_fake_kyiv,dj,11,fake_kyiv,20000,0.0237832,0.01979750000000004,0.023600000000000017,0.029026249999999996
dj_11_fake_marrakesh,dj,11,fake_marrakesh,20000,0.012949399999999998,0.00995000000000003,0.012874999999999994,0.0165
dj_11_fake_sherbrooke,dj,11,fake_sherbrooke,20000,0.0233232,0.019250000000000028,0.02309999999999999,0.028276250000000003
dj_11_fake_torino,dj,11,fake_torino,20000,0.0211683,0.017000000000000015,0.02100000000000002,0.026349999999999985
dj_12_fake_fez,dj,12,fake_fez,20000,0.0171164,0.013673749999999995,0.01689999999999999,0.021507499999999964
dj_12_fake_kyiv,dj,12,fake_kyiv,20000,0.0289264,0.02434500000000001,0.02875000000000001,0.034126250000000025
dj_12_fake_marrakesh,dj,12,fake_marrakesh,20000,0.015221900000000002,0.012173750000000014,0.015050000000000036,0.019076249999999982
dj_12_fake_sherbrooke,dj,12,fake_sherbrooke,20000,0.0266124,0.022597500000000006,0.026525,0.031926249999999996
dj_12_fake_torino,dj,12,fake_torino,20000,0.024897599999999995,0.021095,0.024600000000000018,0.029478749999999974
