policy,scheme,selected_config_id,selections,relaxed_rate,total,selection_frequency
aggregate_only_sync,confidence,b50_lb3_k1_eps0p005,71,0.0,100,0.71
aggregate_only_sync,confidence,b50_lb2_k5_eps0p005,10,0.0,100,0.1
aggregate_only_sync,confidence,b50_lb2_k10_eps0p005,7,0.0,100,0.07
aggregate_only_sync,confidence,b50_lb2_k3_eps0p005,5,0.0,100,0.05
aggregate_only_sync,confidence,b50_lb2_k2_eps0p005,3,0.0,100,0.03
aggregate_only_sync,confidence,b50_lb1_k1_eps0p0025,2,0.0,100,0.02
aggregate_only_sync,confidence,b50_lb2_k1_eps0p005,2,0.0,100,0.02
aggregate_only_sync,shot_proportional,b50_lb3_k1_eps0p005,71,0.0,100,0.71
aggregate_only_sync,shot_proportional,b50_lb2_k5_eps0p005,10,0.0,100,0.1
aggregate_only_sync,shot_proportional,b50_lb2_k10_eps0p005,7,0.0,100,0.07
aggregate_only_sync,shot_proportional,b50_lb2_k3_eps0p005,5,0.0,100,0.05
aggregate_only_sync,shot_proportional,b50_lb2_k2_eps0p005,3,0.0,100,0.03
aggregate_only_sync,shot_proportional,b50_lb1_k1_eps0p0025,2,0.0,100,0.02
aggregate_only_sync,shot_proportional,b50_lb2_k1_eps0p005,2,0.0,100,0.02
aggregate_only_sync,uniform,b50_lb3_k1_eps0p005,71,0.0,100,0.71
aggregate_only_sync,uniform,b50_lb2_k5_eps0p005,10,0.0,100,0.1
aggregate_only_sync,uniform,b50_lb2_k10_eps0p005,7,0.0,100,0.07
aggregate_only_sync,uniform,b50_lb2_k3_eps0p005,5,0.0,100,0.05
aggregate_only_sync,uniform,b50_lb2_k2_eps0p005,3,0.0,100,0.03
aggregate_only_sync,uniform,b50_lb1_k1_eps0p0025,2,0.0,100,0.02
aggregate_only_sync,uniform,b50_lb2_k1_eps0p005,2,0.0,100,0.02
hierarchical_local_aggregate,confidence,b50_lb3_k1_eps0p005,72,0.0,100,0.72
hierarchical_local_aggregate,confidence,b50_lb2_k5_eps0p005,10,0.0,100,0.1
hierarchical_local_aggregate,confidence,b50_lb2_k10_eps0p005,7,0.0,100,0.07
hierarchical_local_aggregate,confidence,b50_lb2_k3_eps0p005,5,0.0,100,0.05
hierarchical_local_aggregate,confidence,b50_lb2_k2_eps0p005,3,0.0,100,0.03
hierarchical_local_aggregate,confidence,b50_lb2_k1_eps0p005,2,0.0,100,0.02
hierarchical_local_aggregate,confidence,b50_lb1_k1_eps0p0025,1,0.0,100,0.01
hierarchical_local_aggregate,shot_proportional,b50_lb3_k1_eps0p005,72,0.0,100,0.72
hierarchical_local_aggregate,shot_proportional,b50_lb2_k5_eps0p005,13,0.0,100,0.13
hierarchical_local_aggregate,shot_proportional,b50_lb2_k10_eps0p005,7,0.0,100,0.07
hierarchical_local_aggregate,shot_proportional,b50_lb2_k2_eps0p005,4,0.0,100,0.04
hierarchical_local_aggregate,shot_proportional,b50_lb2_k3_eps0p005,2,0.0,100,0.02
hierarchical_local_aggregate,shot_proportional,b50_lb1_k1_eps0p0025,1,0.0,100,0.01
hierarchical_local_aggregate,shot_proportional,b50_lb2_k1_eps0p005,1,0.0,100,0.01
hierarchical_local_aggregate,uniform,b50_lb3_k1_eps0p005,72,0.0,100,0.72
hierarchical_local_aggregate,uniform,b50_lb2_k5_eps0p005,13,0.0,100,0.13
hierarchical_local_aggregate,uniform,b50_lb2_k10_eps0p005,7,0.0,100,0.07
hierarchical_local_aggregate,uniform,b50_lb2_k2_eps0p005,3,0.0,100,0.03
hierarchical_local_aggregate,uniform,b50_lb2_k1_eps0p005,2,0.0,100,0.02
hierarchical_local_aggregate,uniform,b50_lb2_k3_eps0p005,2,0.0,100,0.02
hierarchical_local_aggregate,uniform,b50_lb1_k1_eps0p0025,1,0.0,100,0.01
local_only_offline_aggregate,confidence,b50_lb2_k1_eps0p005,100,0.0,100,1.0
local_only_offline_aggregate,shot_proportional,b50_lb2_k1_eps0p005,100,0.0,100,1.0
local_only_offline_aggregate,uniform,b50_lb2_k1_eps0p005,100,0.0,100,1.0
