policy,scheme,config_id,selections,relaxed_rate,total,selection_frequency
aggregate_only_sync,confidence,b50_lb3_k1_eps0p005,100,0.0,100,1.0
aggregate_only_sync,shot_proportional,b50_lb3_k1_eps0p005,100,0.0,100,1.0
aggregate_only_sync,uniform,b50_lb3_k1_eps0p005,100,0.0,100,1.0
hierarchical_local_aggregate,confidence,b50_lb3_k1_eps0p005,100,0.0,100,1.0
hierarchical_local_aggregate,shot_proportional,b50_lb3_k1_eps0p005,100,0.0,100,1.0
hierarchical_local_aggregate,uniform,b50_lb3_k1_eps0p005,100,0.0,100,1.0
local_only_offline_aggregate,confidence,b50_lb3_k1_eps0p005,72,0.0,100,0.72
local_only_offline_aggregate,confidence,b50_lb2_k5_eps0p005,15,0.0,100,0.15
local_only_offline_aggregate,confidence,b50_lb2_k10_eps0p005,8,0.0,100,0.08
local_only_offline_aggregate,confidence,b50_lb2_k3_eps0p005,5,0.0,100,0.05
local_only_offline_aggregate,shot_proportional,b50_lb3_k1_eps0p005,64,0.0,100,0.64
local_only_offline_aggregate,shot_proportional,b50_lb2_k5_eps0p005,31,0.0,100,0.31
local_only_offline_aggregate,shot_proportional,b50_lb2_k3_eps0p005,5,0.0,100,0.05
local_only_offline_aggregate,uniform,b50_lb3_k1_eps0p005,72,0.0,100,0.72
local_only_offline_aggregate,uniform,b50_lb2_k5_eps0p005,15,0.0,100,0.15
local_only_offline_aggregate,uniform,b50_lb2_k10_eps0p005,8,0.0,100,0.08
local_only_offline_aggregate,uniform,b50_lb2_k3_eps0p005,5,0.0,100,0.05
