split_id,split_mode,repetition,config_id,policy,scheme,train_rows,train_circuit_configs,train_k_values,train_median_tvd,train_q75_tvd,train_q95_tvd,train_max_tvd,train_valid_rate_tvd_le_0p01,train_valid_rate_tvd_le_0p05,train_valid_rate_tvd_le_0p1,train_median_ssr,train_q25_ssr,train_median_parallel_ssr,train_median_total_shots,train_median_max_backend_shots,train_selection_risk,train_selection_risk_detail_json,selection_target_tvd,selection_risk_group,selection_risk_aggregation,selection_objective,selection_relaxed
stratified_size_rep000,stratified_size,0,b50_lb3_k1_eps0p005,aggregate_only_sync,confidence,300,60,5,0.0211806534463199,0.0279284438775509,0.03669185322299617,0.0487676470588226,0.2966666666666667,1.0,1.0,0.6950000000000001,0.0,0.6950000000000001,15925.0,6100.0,0.045383793473771215,"{""10"": 0.03313599999999998, ""11"": 0.03630774972558913, ""12"": 0.03361935471349175, ""13"": 0.03705693713361588, ""14"": 0.045383793473771215, ""15"": 0.038338547981943666, ""4"": 0.026675692307692258, ""5"": 0.025048475544063777, ""6"": 0.03004530516431915, ""7"": 0.030661720154043615, ""8"": 0.03020535410897194, ""9"": 0.03379925901045473}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep000,stratified_size,0,b50_lb3_k1_eps0p005,aggregate_only_sync,shot_proportional,300,60,5,0.0211806534463199,0.0279284438775509,0.03669185322299617,0.0487676470588226,0.2966666666666667,1.0,1.0,0.6950000000000001,0.0,0.6950000000000001,15925.0,6100.0,0.045383793473771215,"{""10"": 0.03313599999999998, ""11"": 0.03630774972558913, ""12"": 0.03361935471349175, ""13"": 0.03705693713361588, ""14"": 0.045383793473771215, ""15"": 0.038338547981943666, ""4"": 0.026675692307692258, ""5"": 0.025048475544063777, ""6"": 0.03004530516431915, ""7"": 0.030661720154043615, ""8"": 0.03020535410897194, ""9"": 0.03379925901045473}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep000,stratified_size,0,b50_lb3_k1_eps0p005,aggregate_only_sync,uniform,300,60,5,0.0211806534463199,0.0279284438775509,0.03669185322299617,0.0487676470588226,0.2966666666666667,1.0,1.0,0.6950000000000001,0.0,0.6950000000000001,15925.0,6100.0,0.045383793473771215,"{""10"": 0.03313599999999998, ""11"": 0.03630774972558913, ""12"": 0.03361935471349175, ""13"": 0.03705693713361588, ""14"": 0.045383793473771215, ""15"": 0.038338547981943666, ""4"": 0.026675692307692258, ""5"": 0.025048475544063777, ""6"": 0.03004530516431915, ""7"": 0.030661720154043615, ""8"": 0.03020535410897194, ""9"": 0.03379925901045473}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep000,stratified_size,0,b50_lb3_k1_eps0p005,hierarchical_local_aggregate,confidence,300,60,5,0.02070590761575675,0.027729252369915074,0.036711869892360464,0.0487676470588226,0.29333333333333333,1.0,1.0,0.6950000000000001,0.0,0.6950000000000001,15675.0,6100.0,0.04494450210908034,"{""10"": 0.03310609773070688, ""11"": 0.036067426031280755, ""12"": 0.03354505549271603, ""13"": 0.03827378905419623, ""14"": 0.04494450210908034, ""15"": 0.03724286646431822, ""4"": 0.02697905189786092, ""5"": 0.0250621806556657, ""6"": 0.030061130450706908, ""7"": 0.030690861876229717, ""8"": 0.03026080909452988, ""9"": 0.03331157034604539}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep000,stratified_size,0,b50_lb3_k1_eps0p005,hierarchical_local_aggregate,shot_proportional,300,60,5,0.0211806534463199,0.028528648721967625,0.03706848048715534,0.0487676470588226,0.2966666666666667,1.0,1.0,0.6950000000000001,0.0,0.6950000000000001,15675.0,6100.0,0.04650521969513378,"{""10"": 0.03313599999999998, ""11"": 0.03630774972558913, ""12"": 0.03379924732690003, ""13"": 0.03925710659422953, ""14"": 0.04650521969513378, ""15"": 0.039816611491107275, ""4"": 0.026675692307692258, ""5"": 0.025048475544063777, ""6"": 0.03004530516431915, ""7"": 0.030661720154043615, ""8"": 0.03020535410897194, ""9"": 0.03379925901045473}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep000,stratified_size,0,b50_lb3_k1_eps0p005,hierarchical_local_aggregate,uniform,300,60,5,0.0211806534463199,0.028528648721967625,0.03705629697291356,0.0487676470588226,0.2966666666666667,1.0,1.0,0.6950000000000001,0.0,0.6950000000000001,15675.0,6100.0,0.0464348367023305,"{""10"": 0.03313599999999998, ""11"": 0.03630774972558913, ""12"": 0.03378064880701104, ""13"": 0.03924392266643705, ""14"": 0.0464348367023305, ""15"": 0.039709525613605766, ""4"": 0.026675692307692258, ""5"": 0.025048475544063777, ""6"": 0.03004530516431915, ""7"": 0.030661720154043615, ""8"": 0.03020535410897194, ""9"": 0.03379925901045473}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep000,stratified_size,0,b50_lb3_k1_eps0p005,local_only_offline_aggregate,confidence,300,60,5,0.0132992616583992,0.020396965249532772,0.033184150941062245,0.0487676470588226,0.39666666666666667,1.0,1.0,0.5293749999999999,0.0,0.4825,20000.0,10350.0,0.04359136614171979,"{""10"": 0.03156029781163994, ""11"": 0.03294805531621946, ""12"": 0.033099904134307044, ""13"": 0.03471659415137196, ""14"": 0.04359136614171979, ""15"": 0.03337769005271196, ""4"": 0.02596470085470079, ""5"": 0.024844294871794854, ""6"": 0.029868246340789748, ""7"": 0.030661720154043615, ""8"": 0.026129999999999917, ""9"": 0.027466560277478378}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep000,stratified_size,0,b50_lb3_k1_eps0p005,local_only_offline_aggregate,shot_proportional,300,60,5,0.013186977262197499,0.020485143400837326,0.033214013692565325,0.0487676470588226,0.3933333333333333,1.0,1.0,0.5293749999999999,0.0,0.4825,20000.0,10350.0,0.04373873911116607,"{""10"": 0.031537366620318114, ""11"": 0.032883453113182796, ""12"": 0.03332071283442773, ""13"": 0.034828232894523775, ""14"": 0.04373873911116607, ""15"": 0.034863657106888504, ""4"": 0.02596470085470079, ""5"": 0.024844294871794854, ""6"": 0.029868246340789748, ""7"": 0.030661720154043615, ""8"": 0.026129999999999917, ""9"": 0.02744872620933198}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep000,stratified_size,0,b50_lb3_k1_eps0p005,local_only_offline_aggregate,uniform,300,60,5,0.0132208927076681,0.020259475083670778,0.03318025052092368,0.0487676470588226,0.3933333333333333,1.0,1.0,0.5293749999999999,0.0,0.4825,20000.0,10350.0,0.04358910340361433,"{""10"": 0.03156089877898299, ""11"": 0.03295921795216744, ""12"": 0.03308930043296372, ""13"": 0.034715765998801836, ""14"": 0.04358910340361433, ""15"": 0.0334583888774218, ""4"": 0.02596470085470079, ""5"": 0.024844294871794854, ""6"": 0.029868246340789748, ""7"": 0.030661720154043615, ""8"": 0.026129999999999917, ""9"": 0.0274672761975962}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep001,stratified_size,1,b50_lb3_k1_eps0p005,aggregate_only_sync,confidence,300,60,5,0.021337079052961,0.028217751132376477,0.036570445600013525,0.0467910256410247,0.31333333333333335,1.0,1.0,0.69625,0.0,0.69625,15925.0,6075.0,0.04563150557113503,"{""10"": 0.03316349397590344, ""11"": 0.03630774972558913, ""12"": 0.03361935471349175, ""13"": 0.0363541818678688, ""14"": 0.04461859427609322, ""15"": 0.04563150557113503, ""4"": 0.025638495726495656, ""5"": 0.025048475544063777, ""6"": 0.02903424242424235, ""7"": 0.03137397813288472, ""8"": 0.03054480829420962, ""9"": 0.03379925901045473}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep001,stratified_size,1,b50_lb3_k1_eps0p005,aggregate_only_sync,shot_proportional,300,60,5,0.021337079052961,0.028217751132376477,0.036570445600013525,0.0467910256410247,0.31333333333333335,1.0,1.0,0.69625,0.0,0.69625,15925.0,6075.0,0.04563150557113503,"{""10"": 0.03316349397590344, ""11"": 0.03630774972558913, ""12"": 0.03361935471349175, ""13"": 0.0363541818678688, ""14"": 0.04461859427609322, ""15"": 0.04563150557113503, ""4"": 0.025638495726495656, ""5"": 0.025048475544063777, ""6"": 0.02903424242424235, ""7"": 0.03137397813288472, ""8"": 0.03054480829420962, ""9"": 0.03379925901045473}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep001,stratified_size,1,b50_lb3_k1_eps0p005,aggregate_only_sync,uniform,300,60,5,0.021337079052961,0.028217751132376477,0.036570445600013525,0.0467910256410247,0.31333333333333335,1.0,1.0,0.69625,0.0,0.69625,15925.0,6075.0,0.04563150557113503,"{""10"": 0.03316349397590344, ""11"": 0.03630774972558913, ""12"": 0.03361935471349175, ""13"": 0.0363541818678688, ""14"": 0.04461859427609322, ""15"": 0.04563150557113503, ""4"": 0.025638495726495656, ""5"": 0.025048475544063777, ""6"": 0.02903424242424235, ""7"": 0.03137397813288472, ""8"": 0.03054480829420962, ""9"": 0.03379925901045473}",0.05,size,max_group_q95,max_ssr,False
stratified_size_rep001,stratified_size,1,b50_lb3_k1_eps0p005,hierarchical_local_aggregate,confidence,300,60,5,0.02070590761575675,0.027729252369915074,0.035516890055649834,0.0467910256410247,0.31,1.0,1.0,0.69625,0.0,0.69625,15675.0,6075.0,0.045395667725050305,"{""10"": 0.03316349397590344, ""11"": 0.036067426031280755, ""12"": 0.03354505549271603, ""13"": 0.03795144040772571, ""14"": 0.043127603289356095, ""15"": 0.045395667725050305, ""4"": 0.026421823996951335, ""5"": 0.0250621806556657, ""6"": 0.029050067710630113, ""7"": 0.03137397813288472, ""8"": 0.030403297252284862, ""9"": 0.03331157034604539}",0.05,size,max_group_q95,max_ssr,False
