backend_i,backend_j,backend_i_label,backend_j_label,mean_reference_tvd,circuit_count
fake_fez,fake_fez,fez,fez,0.0,72
fake_fez,fake_kyiv,fez,kyiv,0.19014999999999996,72
fake_fez,fake_marrakesh,fez,marrakesh,0.12852777777777777,72
fake_fez,fake_sherbrooke,fez,sherbrooke,0.18339513888888895,72
fake_fez,fake_torino,fez,torino,0.15611666666666663,72
fake_kyiv,fake_fez,kyiv,fez,0.19015000000000004,72
fake_kyiv,fake_kyiv,kyiv,kyiv,0.0,72
fake_kyiv,fake_marrakesh,kyiv,marrakesh,0.21529583333333357,72
fake_kyiv,fake_sherbrooke,kyiv,sherbrooke,0.1422180555555557,72
fake_kyiv,fake_torino,kyiv,torino,0.15390555555555568,72
fake_marrakesh,fake_fez,marrakesh,fez,0.1285277777777779,72
fake_marrakesh,fake_kyiv,marrakesh,kyiv,0.2152958333333339,72
fake_marrakesh,fake_marrakesh,marrakesh,marrakesh,0.0,72
fake_marrakesh,fake_sherbrooke,marrakesh,sherbrooke,0.20787708333333357,72
fake_marrakesh,fake_torino,marrakesh,torino,0.17869652777777756,72
fake_sherbrooke,fake_fez,sherbrooke,fez,0.18339513888888892,72
fake_sherbrooke,fake_kyiv,sherbrooke,kyiv,0.14221805555555556,72
fake_sherbrooke,fake_marrakesh,sherbrooke,marrakesh,0.20787708333333335,72
fake_sherbrooke,fake_sherbrooke,sherbrooke,sherbrooke,0.0,72
fake_sherbrooke,fake_torino,sherbrooke,torino,0.1483972222222224,72
fake_torino,fake_fez,torino,fez,0.1561166666666668,72
fake_torino,fake_kyiv,torino,kyiv,0.15390555555555585,72
fake_torino,fake_marrakesh,torino,marrakesh,0.17869652777777761,72
fake_torino,fake_sherbrooke,torino,sherbrooke,0.1483972222222224,72
fake_torino,fake_torino,torino,torino,0.0,72
