config_id,policy,scheme,k,circuit_key,algorithm,size,circuit_kind,circuit_median_tvd,circuit_q95_tvd,circuit_max_tvd,circuit_median_ssr,circuit_median_parallel_ssr,circuit_median_total_shots,circuit_median_max_backend_shots,subset_rows
b50_lb3_k1_eps0p005,aggregate_only_sync,confidence,1,dj_10_circuit,dj,10,circuit,0.03493846153846144,0.03811251920122875,0.03860476190476177,0.845,0.845,3100.0,3100.0,5
b50_lb3_k1_eps0p005,aggregate_only_sync,confidence,1,dj_11_circuit,dj,11,circuit,0.03243186813186821,0.03458594594594587,0.03488243243243236,0.815,0.815,3700.0,3700.0,5
b50_lb3_k1_eps0p005,aggregate_only_sync,confidence,1,dj_12_circuit,dj,12,circuit,0.0343058252427183,0.040647093596058885,0.04140714285714262,0.79,0.79,4200.0,4200.0,5
b50_lb3_k1_eps0p005,aggregate_only_sync,confidence,1,dj_13_circuit,dj,13,circuit,0.035007843137254864,0.05180505747126413,0.05394999999999979,0.8,0.8,4000.0,4000.0,5
b50_lb3_k1_eps0p005,aggregate_only_sync,confidence,1,dj_14_circuit,dj,14,circuit,0.04467777777777737,0.04561962406014997,0.045849999999999586,0.775,0.775,4500.0,4500.0,5
b50_lb3_k1_eps0p005,aggregate_only_sync,confidence,1,dj_15_circuit,dj,15,circuit,0.04679102564102471,0.04994126126126065,0.05069999999999938,0.7224999999999999,0.7224999999999999,5550.0,5550.0,5
b50_lb3_k1_eps0p005,aggregate_only_sync,confidence,1,dj_4_circuit,dj,4,circuit,0.013046153846153815,0.016614935064935058,0.016795454545454534,0.9725,0.9725,550.0,550.0,5
b50_lb3_k1_eps0p005,aggregate_only_sync,confidence,1,dj_5_circuit,dj,5,circuit,0.011750000000000002,0.01328259259259259,0.013390740740740741,0.95,0.95,1000.0,1000.0,5
b50_lb3_k1_eps0p005,aggregate_only_sync,confidence,1,dj_6_circuit,dj,6,circuit,0.01803333333333332,0.020674285714285708,0.020992857142857136,0.925,0.925,1500.0,1500.0,5
b50_lb3_k1_eps0p005,aggregate_only_sync,confidence,1,dj_7_circuit,dj,7,circuit,0.01999444444444443,0.030284871794871784,0.03179999999999999,0.91,0.91,1800.0,1800.0,5
b50_lb3_k1_eps0p005,aggregate_only_sync,confidence,1,dj_8_circuit,dj,8,circuit,0.02429411764705884,0.03605521739130431,0.03894999999999995,0.905,0.905,1900.0,1900.0,5
b50_lb3_k1_eps0p005,aggregate_only_sync,confidence,1,dj_9_circuit,dj,9,circuit,0.022562500000000006,0.03497456140350871,0.03529736842105254,0.8575,0.8575,2850.0,2850.0,5
b50_lb3_k1_eps0p005,aggregate_only_sync,confidence,1,qaoa_10_circuit,qaoa,10,circuit,0.03316686746987935,0.037861031512713264,0.038372463768115844,0.21750000000000003,0.21750000000000003,15650.0,15650.0,5
