trace_id,circuit_key,algorithm,size,backend,circuit_kind,reference_shots,source_batch_size,sampling_strategy,sampling_seed,qsimbench_materialization_time_seconds,strategy_family,strategy,config_id,shots,tvd_to_reference,saving_vs_reference,stop_reason,last_stability_tvd,checks_performed,strategy_eval_time_seconds,batch_size,lookback_batches,stability,epsilon
qft_8_fake_fez,qft_8_circuit,qft,8,fake_fez,circuit,20000,50,sequential,0,2.513679181225598,fixed,fixed_1000,,1000,0.1985499999999999,0.95,fixed_budget,,0,0.00023453310132026672,,,,
qft_8_fake_fez,qft_8_circuit,qft,8,fake_fez,circuit,20000,50,sequential,0,2.513679181225598,fixed,fixed_2500,,2500,0.11385000000000006,0.875,fixed_budget,,0,0.0005549909546971321,,,,
qft_8_fake_fez,qft_8_circuit,qft,8,fake_fez,circuit,20000,50,sequential,0,2.513679181225598,fixed,fixed_5000,,5000,0.07605000000000003,0.75,fixed_budget,,0,0.0010932395234704018,,,,
qft_8_fake_fez,qft_8_circuit,qft,8,fake_fez,circuit,20000,50,sequential,0,2.513679181225598,fixed,fixed_10000,,10000,0.045899999999999996,0.5,fixed_budget,,0,0.002306215465068817,,,,
qft_8_fake_fez,qft_8_circuit,qft,8,fake_fez,circuit,20000,50,sequential,0,2.513679181225598,fixed,fixed_15000,,15000,0.02395,0.25,fixed_budget,,0,0.003455161117017269,,,,
qft_8_fake_fez,qft_8_circuit,qft,8,fake_fez,circuit,20000,50,sequential,0,2.513679181225598,fixed,fixed_18000,,18000,0.015405555555555565,0.09999999999999998,fixed_budget,,0,0.004184762015938759,,,,
qft_8_fake_fez,qft_8_circuit,qft,8,fake_fez,circuit,20000,50,sequential,0,2.513679181225598,stable_shots,stable_shots_b50_lb3_k5_eps0p005,b50_lb3_k5_eps0p005,16700,0.020032035928143725,0.16500000000000004,stable,0.004870380085749947,331,0.039828396402299404,50.0,3.0,5.0,0.005
qft_8_fake_kyiv,qft_8_circuit,qft,8,fake_kyiv,circuit,20000,50,sequential,0,2.3996853698045015,fixed,fixed_1000,,1000,0.20990000000000003,0.95,fixed_budget,,0,0.00023073703050613403,,,,
qft_8_fake_kyiv,qft_8_circuit,qft,8,fake_kyiv,circuit,20000,50,sequential,0,2.3996853698045015,fixed,fixed_2500,,2500,0.11795000000000008,0.875,fixed_budget,,0,0.0005562417209148407,,,,
qft_8_fake_kyiv,qft_8_circuit,qft,8,fake_kyiv,circuit,20000,50,sequential,0,2.3996853698045015,fixed,fixed_5000,,5000,0.07450000000000005,0.75,fixed_budget,,0,0.0010800650343298912,,,,
