algorithm,size,requested,available,complete
dj,4,5,5,True
dj,5,5,5,True
dj,6,5,5,True
dj,7,5,5,True
dj,8,5,5,True
dj,9,5,5,True
dj,10,5,5,True
dj,11,5,5,True
dj,12,5,5,True
dj,13,5,5,True
dj,14,5,5,True
dj,15,5,5,True
qaoa,4,5,5,True
qaoa,5,5,5,True
qaoa,6,5,5,True
qaoa,7,5,5,True
qaoa,8,5,5,True
qaoa,9,5,5,True
qaoa,10,5,5,True
qaoa,11,5,5,True
qaoa,12,5,5,True
qaoa,13,5,5,True
qaoa,14,5,5,True
qaoa,15,5,5,True
qft,4,5,5,True
qft,5,5,5,True
qft,6,5,5,True
qft,7,5,5,True
qft,8,5,5,True
qft,9,5,5,True
qft,10,5,5,True
qft,11,5,5,True
qft,12,5,5,True
qft,13,5,5,True
qft,14,5,5,True
qft,15,5,5,True
qnn,4,5,5,True
qnn,5,5,5,True
qnn,6,5,5,True
qnn,7,5,5,True
qnn,8,5,5,True
qnn,9,5,5,True
qnn,10,5,5,True
qnn,11,5,5,True
qnn,12,5,5,True
qnn,13,5,5,True
qnn,14,5,5,True
qnn,15,5,5,True
random,4,5,5,True
random,5,5,5,True
random,6,5,5,True
random,7,5,5,True
random,8,5,5,True
random,9,5,5,True
random,10,5,5,True
random,11,5,5,True
random,12,5,5,True
random,13,5,5,True
random,14,5,5,True
random,15,5,5,True
vqe,4,5,5,True
vqe,5,5,5,True
vqe,6,5,5,True
vqe,7,5,5,True
vqe,8,5,5,True
vqe,9,5,5,True
vqe,10,5,5,True
vqe,11,5,5,True
vqe,12,5,5,True
vqe,13,5,5,True
vqe,14,5,5,True
vqe,15,5,5,True
