trace_id,algorithm,size,backend,tvd_1000,tvd_2500,tvd_5000,tvd_10000,tvd_15000,tvd_18000,tvd_20000,bound_tau,bound_delta,n_empirical_tau,n_hoeffding,n_weissman,alpha_hoeffding,alpha_weissman,empirical_target_reached_by_fixed_budget
dj_4_fake_fez,dj,4,fake_fez,0.0064,0.0041,0.00295,0.0015,0.0004666666666666,0.00045,0.0,0.05,0.05,1000.0,82707,2818,0.012090875016624952,0.35486160397445,True
dj_4_fake_kyiv,dj,4,fake_kyiv,0.0154499999999999,0.00425,0.0024499999999999,0.0017499999999999,0.0012166666666666,0.0006611111111111,0.0,0.05,0.05,1000.0,82707,2818,0.012090875016624952,0.35486160397445,True
dj_4_fake_marrakesh,dj,4,fake_marrakesh,0.0084,0.0016499999999999,0.0032499999999999,0.0013499999999999,0.0004833333333333,0.0002833333333333,0.0,0.05,0.05,1000.0,82707,2818,0.012090875016624952,0.35486160397445,True
dj_4_fake_sherbrooke,dj,4,fake_sherbrooke,0.0063999999999999,0.0056,0.00495,0.004,0.00175,0.0004833333333333,0.0,0.05,0.05,1000.0,82707,2818,0.012090875016624952,0.35486160397445,True
dj_4_fake_torino,dj,4,fake_torino,0.0076999999999999,0.0083499999999999,0.0053499999999999,0.0036999999999999,0.0013333333333333,0.0007833333333333,0.0,0.05,0.05,1000.0,82707,2818,0.012090875016624952,0.35486160397445,True
dj_6_fake_fez,dj,6,fake_fez,0.0194,0.0114999999999999,0.0065999999999999,0.0032,0.0022,0.0015166666666666,0.0,0.05,0.05,1000.0,1607222,9472,0.000622191582743392,0.10557432432432433,True
dj_6_fake_kyiv,dj,6,fake_kyiv,0.0154,0.01205,0.0065499999999999,0.0053999999999999,0.0026999999999999,0.0020055555555555,0.0,0.05,0.05,1000.0,1607222,9472,0.000622191582743392,0.10557432432432433,True
dj_6_fake_marrakesh,dj,6,fake_marrakesh,0.0146999999999999,0.0074499999999999,0.00465,0.0032,0.0013333333333333,0.00105,0.0,0.05,0.05,1000.0,1607222,9472,0.000622191582743392,0.10557432432432433,True
dj_6_fake_sherbrooke,dj,6,fake_sherbrooke,0.0242999999999999,0.0130999999999999,0.0122499999999999,0.00655,0.0043833333333333,0.0017444444444444,0.0,0.05,0.05,1000.0,1607222,9472,0.000622191582743392,0.10557432432432433,True
dj_6_fake_torino,dj,6,fake_torino,0.02285,0.0107499999999999,0.0085,0.00475,0.0032166666666666,0.0023944444444444,0.0,0.05,0.05,1000.0,1607222,9472,0.000622191582743392,0.10557432432432433,True
dj_8_fake_fez,dj,8,fake_fez,0.02905,0.0172,0.0090999999999999,0.0053999999999999,0.0035,0.0019277777777777,0.0,0.05,0.05,1000.0,30258158,36089,3.304893840530544e-05,0.02770927429410624,True
dj_8_fake_kyiv,dj,8,fake_kyiv,0.0448999999999999,0.0384499999999999,0.01835,0.0091499999999999,0.0058499999999999,0.0032833333333333,0.0,0.05,0.05,1000.0,30258158,36089,3.304893840530544e-05,0.02770927429410624,True
dj_8_fake_marrakesh,dj,8,fake_marrakesh,0.0169,0.0136,0.00825,0.0045,0.00275,0.002361111111111,0.0,0.05,0.05,1000.0,30258158,36089,3.304893840530544e-05,0.02770927429410624,True
dj_8_fake_sherbrooke,dj,8,fake_sherbrooke,0.0346,0.0241,0.0201,0.01195,0.00485,0.0025444444444444,0.0,0.05,0.05,1000.0,30258158,36089,3.304893840530544e-05,0.02770927429410624,True
dj_8_fake_torino,dj,8,fake_torino,0.03025,0.0213,0.0183,0.0089,0.0046666666666666,0.0032222222222222,0.0,0.05,0.05,1000.0,30258158,36089,3.304893840530544e-05,0.02770927429410624,True
dj_10_fake_fez,dj,10,fake_fez,0.0389999999999999,0.02545,0.0153499999999999,0.0092,0.0050333333333333,0.002361111111111,0.0,0.05,0.05,1000.0,556812273,142556,1.7959374253950756e-06,0.007014787171357221,True
dj_10_fake_kyiv,dj,10,fake_kyiv,0.0686999999999998,0.0416999999999998,0.02695,0.01635,0.0101,0.0048,0.0,0.05,0.05,2500.0,556812273,142556,4.489843563487689e-06,0.017536967928393054,True
dj_10_fake_marrakesh,dj,10,fake_marrakesh,0.0365999999999999,0.02335,0.01615,0.0096999999999999,0.0050166666666666,0.0028222222222222,0.0,0.05,0.05,1000.0,556812273,142556,1.7959374253950756e-06,0.007014787171357221,True
dj_10_fake_sherbrooke,dj,10,fake_sherbrooke,0.0502999999999998,0.0384999999999998,0.02485,0.0143,0.0079666666666667,0.0053333333333333,0.0,0.05,0.05,2500.0,556812273,142556,4.489843563487689e-06,0.017536967928393054,True
dj_10_fake_torino,dj,10,fake_torino,0.0548499999999999,0.0465999999999999,0.02865,0.0142,0.00815,0.0047888888888889,0.0,0.05,0.05,2500.0,556812273,142556,4.489843563487689e-06,0.017536967928393054,True
dj_12_fake_fez,dj,12,fake_fez,0.0524999999999998,0.0333,0.0217,0.01395,0.0079499999999999,0.0040777777777777,0.0,0.05,0.05,2500.0,10071904351,568426,2.482152245371338e-07,0.004398109868302998,True
dj_12_fake_kyiv,dj,12,fake_kyiv,0.0831999999999995,0.0528499999999997,0.0357499999999998,0.02125,0.0142166666666666,0.00785,0.0,0.05,0.05,5000.0,10071904351,568426,4.964304490742676e-07,0.008796219736605996,True
dj_12_fake_marrakesh,dj,12,fake_marrakesh,0.0394499999999998,0.02725,0.0184,0.0116,0.0059666666666666,0.0035444444444444,0.0,0.05,0.05,1000.0,10071904351,568426,9.928608981485353e-08,0.0017592439473211993,True
dj_12_fake_sherbrooke,dj,12,fake_sherbrooke,0.0889499999999994,0.0490999999999998,0.0365999999999998,0.0216,0.0135833333333333,0.0065833333333333,0.0,0.05,0.05,2500.0,10071904351,568426,2.482152245371338e-07,0.004398109868302998,True
dj_12_fake_torino,dj,12,fake_torino,0.0823499999999995,0.0506499999999997,0.0376499999999997,0.0229,0.0122499999999999,0.0069666666666666,0.0,0.05,0.05,5000.0,10071904351,568426,4.964304490742676e-07,0.008796219736605996,True
dj_14_fake_fez,dj,14,fake_fez,0.0806499999999996,0.0449499999999997,0.0288,0.0202,0.0105166666666666,0.0043999999999999,0.0,0.05,0.05,2500.0,179756997562,2271904,1.3907664424233193e-08,0.001100398608391904,True
dj_14_fake_kyiv,dj,14,fake_kyiv,0.138249999999999,0.0919999999999993,0.0558499999999995,0.0291000000000001,0.0166666666666667,0.0088499999999999,0.0,0.05,0.05,10000.0,179756997562,2271904,5.563065769693277e-08,0.004401594433567616,True
dj_14_fake_marrakesh,dj,14,fake_marrakesh,0.0632499999999998,0.0478999999999998,0.02705,0.0152,0.0090166666666666,0.0046166666666666,0.0,0.05,0.05,2500.0,179756997562,2271904,1.3907664424233193e-08,0.001100398608391904,True
dj_14_fake_sherbrooke,dj,14,fake_sherbrooke,0.0934499999999993,0.0630499999999995,0.0458499999999996,0.0293500000000001,0.0144166666666667,0.0086277777777777,0.0,0.05,0.05,5000.0,179756997562,2271904,2.7815328848466385e-08,0.002200797216783808,True
dj_14_fake_torino,dj,14,fake_torino,0.1059999999999993,0.0651499999999995,0.0451999999999995,0.0274000000000001,0.0141166666666667,0.0071722222222222,0.0,0.05,0.05,5000.0,179756997562,2271904,2.7815328848466385e-08,0.002200797216783808,True
qaoa_4_fake_fez,qaoa,4,fake_fez,0.0261999999999999,0.0154499999999999,0.0074,0.0065,0.0024833333333333,0.00195,0.0,0.05,0.05,1000.0,82707,2818,0.012090875016624952,0.35486160397445,True
qaoa_4_fake_kyiv,qaoa,4,fake_kyiv,0.0308999999999999,0.018,0.0096999999999999,0.0047499999999999,0.0028,0.0021944444444444,0.0,0.05,0.05,1000.0,82707,2818,0.012090875016624952,0.35486160397445,True
qaoa_4_fake_marrakesh,qaoa,4,fake_marrakesh,0.0177999999999999,0.0135,0.00615,0.00255,0.0010333333333333,0.0015888888888888,0.0,0.05,0.05,1000.0,82707,2818,0.012090875016624952,0.35486160397445,True
qaoa_4_fake_sherbrooke,qaoa,4,fake_sherbrooke,0.03895,0.0242999999999999,0.0138999999999999,0.01035,0.0043333333333333,0.0022944444444444,0.0,0.05,0.05,1000.0,82707,2818,0.012090875016624952,0.35486160397445,True
qaoa_4_fake_torino,qaoa,4,fake_torino,0.0235,0.0195,0.0055,0.0027,0.0028499999999999,0.0014555555555555,0.0,0.05,0.05,1000.0,82707,2818,0.012090875016624952,0.35486160397445,True
qaoa_6_fake_fez,qaoa,6,fake_fez,0.06125,0.036,0.0259999999999999,0.014,0.0070166666666666,0.0052833333333333,0.0,0.05,0.05,2500.0,1607222,9472,0.00155547895685848,0.2639358108108108,True
qaoa_6_fake_kyiv,qaoa,6,fake_kyiv,0.07735,0.0336,0.0238499999999999,0.0145999999999999,0.0094833333333333,0.0053333333333333,0.0,0.05,0.05,2500.0,1607222,9472,0.00155547895685848,0.2639358108108108,True
qaoa_6_fake_marrakesh,qaoa,6,fake_marrakesh,0.07135,0.03735,0.02335,0.0153499999999999,0.00915,0.0048555555555555,0.0,0.05,0.05,2500.0,1607222,9472,0.00155547895685848,0.2639358108108108,True
qaoa_6_fake_sherbrooke,qaoa,6,fake_sherbrooke,0.0833,0.0519499999999999,0.0295999999999999,0.01765,0.0091666666666666,0.0063611111111111,0.0,0.05,0.05,5000.0,1607222,9472,0.00311095791371696,0.5278716216216216,True
qaoa_6_fake_torino,qaoa,6,fake_torino,0.0778,0.0362,0.02905,0.0189999999999999,0.01005,0.0055833333333333,0.0,0.05,0.05,2500.0,1607222,9472,0.00155547895685848,0.2639358108108108,True
qaoa_8_fake_fez,qaoa,8,fake_fez,0.1321499999999999,0.0706499999999999,0.0503999999999999,0.02745,0.0163666666666666,0.0097888888888888,0.0,0.05,0.05,10000.0,30258158,36089,0.0003304893840530544,0.2770927429410624,True
qaoa_8_fake_kyiv,qaoa,8,fake_kyiv,0.1475499999999998,0.08515,0.05565,0.02885,0.0175,0.0106388888888888,0.0,0.05,0.05,10000.0,30258158,36089,0.0003304893840530544,0.2770927429410624,True
