split_id,split_mode,repetition,bound_tau,bound_delta,bound,alpha_col,calibration,group_mode,group_label,alpha,calibration_trace_count,alpha_min,alpha_median,alpha_p75,alpha_p90,alpha_max,size,algorithm
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,global,global,3.26879060312084e-05,144,1.3907664424233193e-08,3.26879060312084e-05,0.00155547895685848,0.012090875016624952,0.030227187541562384,,
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size,4,0.012090875016624952,24,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.030227187541562384,4.0,
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size,6,0.00155547895685848,24,0.000622191582743392,0.00155547895685848,0.00311095791371696,0.00311095791371696,0.00311095791371696,6.0,
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size,8,0.0003304893840530544,24,3.304893840530544e-05,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,8.0,
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size,10,2.6939061380926133e-05,24,1.7959374253950756e-06,2.6939061380926133e-05,2.828601444997244e-05,3.232687365711136e-05,3.232687365711136e-05,10.0,
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size,12,1.886435706482217e-06,24,9.928608981485353e-08,1.886435706482217e-06,1.9857217962970703e-06,1.9857217962970703e-06,1.9857217962970703e-06,12.0,
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size,14,1.0569824962417225e-07,24,1.3907664424233193e-08,1.0569824962417225e-07,1.1126131539386554e-07,1.1126131539386554e-07,1.1126131539386554e-07,14.0,
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,4|dj,0.012090875016624952,4,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.012090875016624952,4.0,dj
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,4|qaoa,0.012090875016624952,4,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.012090875016624952,4.0,qaoa
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,4|qft,0.021159031279093667,4,0.012090875016624952,0.021159031279093667,0.030227187541562384,0.030227187541562384,0.030227187541562384,4.0,qft
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,4|qnn,0.012090875016624952,4,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.012090875016624952,4.0,qnn
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,4|random,0.012090875016624952,4,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.012090875016624952,4.0,random
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,4|vqe,0.012090875016624952,4,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.012090875016624952,4.0,vqe
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,6|dj,0.000622191582743392,4,0.000622191582743392,0.000622191582743392,0.000622191582743392,0.000622191582743392,0.000622191582743392,6.0,dj
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,6|qaoa,0.00155547895685848,4,0.00155547895685848,0.00155547895685848,0.0019443486960731,0.002644314226659416,0.00311095791371696,6.0,qaoa
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,6|qft,0.00311095791371696,4,0.00155547895685848,0.00311095791371696,0.00311095791371696,0.00311095791371696,0.00311095791371696,6.0,qft
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,6|qnn,0.00155547895685848,4,0.00155547895685848,0.00155547895685848,0.0019443486960731,0.002644314226659416,0.00311095791371696,6.0,qnn
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,6|random,0.0023332184352877197,4,0.00155547895685848,0.0023332184352877197,0.00311095791371696,0.00311095791371696,0.00311095791371696,6.0,random
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,6|vqe,0.000622191582743392,4,0.000622191582743392,0.000622191582743392,0.000622191582743392,0.000622191582743392,0.000622191582743392,6.0,vqe
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,8|dj,3.304893840530544e-05,4,3.304893840530544e-05,3.304893840530544e-05,3.304893840530544e-05,3.304893840530544e-05,3.304893840530544e-05,8.0,dj
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,8|qaoa,0.0003304893840530544,4,0.0001652446920265272,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,8.0,qaoa
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,8|qft,0.0003304893840530544,4,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,8.0,qft
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,8|qnn,0.0003304893840530544,4,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,8.0,qnn
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,8|random,0.0003304893840530544,4,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,8.0,random
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,8|vqe,3.304893840530544e-05,4,3.304893840530544e-05,3.304893840530544e-05,4.544229030729498e-05,6.775032373087617e-05,8.26223460132636e-05,8.0,vqe
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,10|dj,3.142890494441382e-06,4,1.7959374253950756e-06,3.142890494441382e-06,4.489843563487689e-06,4.489843563487689e-06,4.489843563487689e-06,10.0,dj
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,10|qaoa,2.6939061380926133e-05,4,2.6939061380926133e-05,2.6939061380926133e-05,2.6939061380926133e-05,2.6939061380926133e-05,2.6939061380926133e-05,10.0,qaoa
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,10|qft,3.232687365711136e-05,4,2.6939061380926133e-05,3.232687365711136e-05,3.232687365711136e-05,3.232687365711136e-05,3.232687365711136e-05,10.0,qft
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,10|qnn,2.9632967519018746e-05,4,2.6939061380926133e-05,2.9632967519018746e-05,3.232687365711136e-05,3.232687365711136e-05,3.232687365711136e-05,10.0,qnn
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,10|random,2.6939061380926133e-05,4,2.6939061380926133e-05,2.6939061380926133e-05,2.828601444997244e-05,3.0710529974255794e-05,3.232687365711136e-05,10.0,random
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,10|vqe,3.142890494441382e-06,4,1.7959374253950756e-06,3.142890494441382e-06,4.489843563487689e-06,4.489843563487689e-06,4.489843563487689e-06,10.0,vqe
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,12|dj,2.482152245371338e-07,4,9.928608981485353e-08,2.482152245371338e-07,3.1026903067141725e-07,4.2196588171312747e-07,4.964304490742676e-07,12.0,dj
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,12|qaoa,1.6382204819450833e-06,4,1.4892913472228028e-06,1.6382204819450833e-06,1.7871496166673635e-06,1.7871496166673635e-06,1.7871496166673635e-06,12.0,qaoa
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,12|qft,1.9857217962970703e-06,4,1.9857217962970703e-06,1.9857217962970703e-06,1.9857217962970703e-06,1.9857217962970703e-06,1.9857217962970703e-06,12.0,qft
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,12|qnn,1.9857217962970703e-06,4,1.9857217962970703e-06,1.9857217962970703e-06,1.9857217962970703e-06,1.9857217962970703e-06,1.9857217962970703e-06,12.0,qnn
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,12|random,1.9857217962970703e-06,4,1.9857217962970703e-06,1.9857217962970703e-06,1.9857217962970703e-06,1.9857217962970703e-06,1.9857217962970703e-06,12.0,random
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,12|vqe,4.964304490742676e-07,4,9.928608981485353e-08,4.964304490742676e-07,4.964304490742676e-07,4.964304490742676e-07,4.964304490742676e-07,12.0,vqe
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,14|dj,2.7815328848466385e-08,4,1.3907664424233193e-08,2.7815328848466385e-08,3.476916106058298e-08,4.728605904239286e-08,5.563065769693277e-08,14.0,dj
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,14|qaoa,9.179058519993906e-08,4,8.344598654539915e-08,9.179058519993906e-08,1.0013518385447898e-07,1.0013518385447898e-07,1.0013518385447898e-07,14.0,qaoa
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,14|qft,1.1126131539386554e-07,4,1.1126131539386554e-07,1.1126131539386554e-07,1.1126131539386554e-07,1.1126131539386554e-07,1.1126131539386554e-07,14.0,qft
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,14|qnn,1.1126131539386554e-07,4,1.1126131539386554e-07,1.1126131539386554e-07,1.1126131539386554e-07,1.1126131539386554e-07,1.1126131539386554e-07,14.0,qnn
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,14|random,1.1126131539386554e-07,4,1.1126131539386554e-07,1.1126131539386554e-07,1.1126131539386554e-07,1.1126131539386554e-07,1.1126131539386554e-07,14.0,random
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,median,size_algorithm,14|vqe,5.563065769693277e-08,4,2.7815328848466385e-08,5.563065769693277e-08,5.563065769693277e-08,5.563065769693277e-08,5.563065769693277e-08,14.0,vqe
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,global,global,0.00155547895685848,144,1.3907664424233193e-08,3.26879060312084e-05,0.00155547895685848,0.012090875016624952,0.030227187541562384,,
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size,4,0.012090875016624952,24,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.030227187541562384,4.0,
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size,6,0.00311095791371696,24,0.000622191582743392,0.00155547895685848,0.00311095791371696,0.00311095791371696,0.00311095791371696,6.0,
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size,8,0.0003304893840530544,24,3.304893840530544e-05,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,8.0,
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size,10,2.828601444997244e-05,24,1.7959374253950756e-06,2.6939061380926133e-05,2.828601444997244e-05,3.232687365711136e-05,3.232687365711136e-05,10.0,
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size,12,1.9857217962970703e-06,24,9.928608981485353e-08,1.886435706482217e-06,1.9857217962970703e-06,1.9857217962970703e-06,1.9857217962970703e-06,12.0,
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size,14,1.1126131539386554e-07,24,1.3907664424233193e-08,1.0569824962417225e-07,1.1126131539386554e-07,1.1126131539386554e-07,1.1126131539386554e-07,14.0,
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,4|dj,0.012090875016624952,4,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.012090875016624952,4.0,dj
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,4|qaoa,0.012090875016624952,4,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.012090875016624952,4.0,qaoa
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,4|qft,0.030227187541562384,4,0.012090875016624952,0.021159031279093667,0.030227187541562384,0.030227187541562384,0.030227187541562384,4.0,qft
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,4|qnn,0.012090875016624952,4,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.012090875016624952,4.0,qnn
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,4|random,0.012090875016624952,4,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.012090875016624952,4.0,random
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,4|vqe,0.012090875016624952,4,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.012090875016624952,0.012090875016624952,4.0,vqe
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,6|dj,0.000622191582743392,4,0.000622191582743392,0.000622191582743392,0.000622191582743392,0.000622191582743392,0.000622191582743392,6.0,dj
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,6|qaoa,0.0019443486960731,4,0.00155547895685848,0.00155547895685848,0.0019443486960731,0.002644314226659416,0.00311095791371696,6.0,qaoa
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,6|qft,0.00311095791371696,4,0.00155547895685848,0.00311095791371696,0.00311095791371696,0.00311095791371696,0.00311095791371696,6.0,qft
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,6|qnn,0.0019443486960731,4,0.00155547895685848,0.00155547895685848,0.0019443486960731,0.002644314226659416,0.00311095791371696,6.0,qnn
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,6|random,0.00311095791371696,4,0.00155547895685848,0.0023332184352877197,0.00311095791371696,0.00311095791371696,0.00311095791371696,6.0,random
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,6|vqe,0.000622191582743392,4,0.000622191582743392,0.000622191582743392,0.000622191582743392,0.000622191582743392,0.000622191582743392,6.0,vqe
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,8|dj,3.304893840530544e-05,4,3.304893840530544e-05,3.304893840530544e-05,3.304893840530544e-05,3.304893840530544e-05,3.304893840530544e-05,8.0,dj
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,8|qaoa,0.0003304893840530544,4,0.0001652446920265272,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,8.0,qaoa
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,8|qft,0.0003304893840530544,4,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,8.0,qft
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,8|qnn,0.0003304893840530544,4,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,8.0,qnn
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,8|random,0.0003304893840530544,4,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,0.0003304893840530544,8.0,random
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,8|vqe,4.544229030729498e-05,4,3.304893840530544e-05,3.304893840530544e-05,4.544229030729498e-05,6.775032373087617e-05,8.26223460132636e-05,8.0,vqe
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,10|dj,4.489843563487689e-06,4,1.7959374253950756e-06,3.142890494441382e-06,4.489843563487689e-06,4.489843563487689e-06,4.489843563487689e-06,10.0,dj
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,10|qaoa,2.6939061380926133e-05,4,2.6939061380926133e-05,2.6939061380926133e-05,2.6939061380926133e-05,2.6939061380926133e-05,2.6939061380926133e-05,10.0,qaoa
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,10|qft,3.232687365711136e-05,4,2.6939061380926133e-05,3.232687365711136e-05,3.232687365711136e-05,3.232687365711136e-05,3.232687365711136e-05,10.0,qft
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,10|qnn,3.232687365711136e-05,4,2.6939061380926133e-05,2.9632967519018746e-05,3.232687365711136e-05,3.232687365711136e-05,3.232687365711136e-05,10.0,qnn
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,10|random,2.828601444997244e-05,4,2.6939061380926133e-05,2.6939061380926133e-05,2.828601444997244e-05,3.0710529974255794e-05,3.232687365711136e-05,10.0,random
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,10|vqe,4.489843563487689e-06,4,1.7959374253950756e-06,3.142890494441382e-06,4.489843563487689e-06,4.489843563487689e-06,4.489843563487689e-06,10.0,vqe
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,alpha_hoeffding,p75,size_algorithm,12|dj,3.1026903067141725e-07,4,9.928608981485353e-08,2.482152245371338e-07,3.1026903067141725e-07,4.2196588171312747e-07,4.964304490742676e-07,12.0,dj
