bound_tau,bound_delta,bound,group_mode,calibration,reported_group_col,reported_group_value,test_eval_count,unique_test_traces,success_rate_all,uncovered_rate,success_rate_evaluable,success_rate_before_reference_cap,above_regular_budget_requested_rate,near_reference_cap_requested_rate,gap_uncovered_requested_rate,above_or_equal_reference_cap_requested_rate,reference_cap_rate,median_scaled_budget,mean_scaled_budget,median_scaled_tvd,max_scaled_tvd
0.05,0.05,hoeffding,global,median,size,4,600,30,0.8616666666666667,0.0,0.8616666666666667,0.8616666666666667,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0308999999999999,0.07015
0.05,0.05,hoeffding,global,median,size,6,600,30,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.07735,0.1033499999999999
0.05,0.05,hoeffding,global,median,size,8,600,30,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.15362499999999985,0.2099
0.05,0.05,hoeffding,global,median,size,10,600,30,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,20000.0,20000.0,0.0,0.0
0.05,0.05,hoeffding,global,median,size,12,600,30,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,20000.0,20000.0,0.0,0.0
0.05,0.05,hoeffding,global,median,size,14,600,30,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,20000.0,20000.0,0.0,0.0
0.05,0.05,hoeffding,global,p75,size,4,600,30,0.8616666666666667,0.0,0.8616666666666667,0.8616666666666667,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0308999999999999,0.07015
0.05,0.05,hoeffding,global,p75,size,6,600,30,0.6866666666666666,0.0,0.6866666666666666,0.6866666666666666,0.0,0.0,0.0,0.0,0.0,2500.0,2500.0,0.04375,0.06595
0.05,0.05,hoeffding,global,p75,size,8,600,30,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,20000.0,20000.0,0.0,0.0
0.05,0.05,hoeffding,global,p75,size,10,600,30,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,20000.0,20000.0,0.0,0.0
0.05,0.05,hoeffding,global,p75,size,12,600,30,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,20000.0,20000.0,0.0,0.0
0.05,0.05,hoeffding,global,p75,size,14,600,30,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,20000.0,20000.0,0.0,0.0
0.05,0.05,hoeffding,global,p90,size,4,600,30,0.8616666666666667,0.0,0.8616666666666667,0.8616666666666667,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0308999999999999,0.07015
0.05,0.05,hoeffding,global,p90,size,6,600,30,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,20000.0,20000.0,0.0,0.0
0.05,0.05,hoeffding,global,p90,size,8,600,30,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,20000.0,20000.0,0.0,0.0
0.05,0.05,hoeffding,global,p90,size,10,600,30,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,20000.0,20000.0,0.0,0.0
0.05,0.05,hoeffding,global,p90,size,12,600,30,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,20000.0,20000.0,0.0,0.0
0.05,0.05,hoeffding,global,p90,size,14,600,30,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,20000.0,20000.0,0.0,0.0
0.05,0.05,hoeffding,size,median,size,4,600,30,0.8616666666666667,0.0,0.8616666666666667,0.8616666666666667,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0308999999999999,0.07015
0.05,0.05,hoeffding,size,median,size,6,600,30,0.6866666666666666,0.0,0.6866666666666666,0.6866666666666666,0.0,0.0,0.0,0.0,0.0,2500.0,2500.0,0.04375,0.06595
0.05,0.05,hoeffding,size,median,size,8,600,30,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.033925,0.0477499999999999
0.05,0.05,hoeffding,size,median,size,10,600,30,0.7783333333333333,0.0,0.7783333333333333,0.7783333333333333,0.0,0.0,0.0,0.0,0.0,15000.0,15000.0,0.04364999999999995,0.0533999999999999
0.05,0.05,hoeffding,size,median,size,12,600,30,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,20000.0,20000.0,0.0,0.0
0.05,0.05,hoeffding,size,median,size,14,600,30,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,20000.0,20000.0,0.0,0.0
0.05,0.05,hoeffding,size,p75,size,4,600,30,0.8616666666666667,0.0,0.8616666666666667,0.8616666666666667,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0308999999999999,0.07015
0.05,0.05,hoeffding,size,p75,size,6,600,30,0.98,0.0,0.98,0.98,0.0,0.0,0.0,0.0,0.0,5000.0,4925.0,0.0288,0.06595
