split_id,split_mode,repetition,bound_tau,bound_delta,bound,group_mode,calibration,test_trace_count,success_rate_all,uncovered_rate,success_rate_evaluable,success_rate_before_reference_cap,above_regular_budget_requested_rate,near_reference_cap_requested_rate,gap_uncovered_requested_rate,above_or_equal_reference_cap_requested_rate,reference_cap_rate,median_scaled_budget,mean_scaled_budget,median_scaled_tvd,mean_scaled_tvd,fallback_rate
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,global,median,36,0.7222222222222222,0.0,0.7222222222222222,0.2222222222222222,0.5,0.16666666666666666,0.0,0.3333333333333333,0.5,10500.0,10500.0,0.00384999999999995,0.0374208333333333,0.0
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,global,p75,36,0.8888888888888888,0.0,0.8888888888888888,0.2222222222222222,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,20000.0,13916.666666666666,0.0,0.01214027777777776,0.0
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,global,p90,36,0.9444444444444444,0.0,0.9444444444444444,0.1111111111111111,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666666,0.8333333333333334,20000.0,16833.333333333332,0.0,0.005949999999999993,0.0
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,size,median,36,0.8611111111111112,0.0,0.8611111111111112,0.5277777777777778,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,12500.0,11416.666666666666,0.01159999999999995,0.0221972222222222,0.0
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,size,p75,36,0.9444444444444444,0.0,0.9444444444444444,0.6111111111111112,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,14000.0,12333.333333333334,0.010574999999999949,0.01806697530864197,0.0
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,size,p90,36,0.9444444444444444,0.0,0.9444444444444444,0.6111111111111112,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,14000.0,12333.333333333334,0.010574999999999949,0.01806697530864197,0.0
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,size_algorithm,median,36,0.9166666666666666,0.0,0.9166666666666666,0.75,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,5000.0,8777.777777777777,0.030233333333333702,0.02793441358024693,0.0
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,size_algorithm,p75,36,0.9722222222222222,0.0,0.9722222222222222,0.8055555555555556,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,7500.0,9250.0,0.028249999999999997,0.02580432098765434,0.0
backend_holdout_rep000,backend_holdout,0,0.05,0.05,hoeffding,size_algorithm,p90,36,0.9722222222222222,0.0,0.9722222222222222,0.8055555555555556,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,7500.0,9250.0,0.028249999999999997,0.02580432098765434,0.0
backend_holdout_rep000,backend_holdout,0,0.05,0.05,weissman,global,median,36,0.6944444444444444,0.0,0.6944444444444444,0.3611111111111111,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,10000.0,10333.333333333334,0.016224999999999948,0.030224999999999964,0.0
backend_holdout_rep000,backend_holdout,0,0.05,0.05,weissman,global,p75,36,0.9444444444444444,0.0,0.9444444444444444,0.4444444444444444,0.5,0.0,0.0,0.5,0.5,15000.0,12666.666666666666,0.00225,0.014793055555555537,0.0
backend_holdout_rep000,backend_holdout,0,0.05,0.05,weissman,global,p90,36,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,17500.0,13750.0,0.001375,0.010141666666666639,0.0
backend_holdout_rep000,backend_holdout,0,0.05,0.05,weissman,size,median,36,0.9166666666666666,0.0,0.9166666666666666,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,12500.0,11666.666666666666,0.009975,0.019387499999999978,0.0
backend_holdout_rep000,backend_holdout,0,0.05,0.05,weissman,size,p75,36,1.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,14000.0,12583.333333333334,0.009174999999999999,0.01525725308641974,0.0
backend_holdout_rep000,backend_holdout,0,0.05,0.05,weissman,size,p90,36,1.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,14000.0,12583.333333333334,0.009174999999999999,0.01525725308641974,0.0
backend_holdout_rep000,backend_holdout,0,0.05,0.05,weissman,size_algorithm,median,36,0.9444444444444444,0.0,0.9444444444444444,0.7777777777777778,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,5000.0,8986.111111111111,0.0293555555555556,0.02617746913580248,0.0
backend_holdout_rep000,backend_holdout,0,0.05,0.05,weissman,size_algorithm,p75,36,1.0,0.0,1.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,7500.0,9458.333333333334,0.02765,0.02404737654320989,0.0
backend_holdout_rep000,backend_holdout,0,0.05,0.05,weissman,size_algorithm,p90,36,1.0,0.0,1.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,7500.0,9458.333333333334,0.02765,0.02404737654320989,0.0
