bound_tau,covered_threshold,reported_group_col,reported_group_value,test_eval_count,unique_test_traces,excluded_over_threshold_rate,reference_cap_rate,stop_rate,success_rate_all,median_shots,mean_shots,median_tvd,max_tvd,covered_eval_count,covered_success_rate,covered_median_shots,covered_mean_shots,covered_max_tvd,le_0p01_rate,le_0p05_rate,le_0p1_rate
0.05,18000.0,size,4,600,30,0.0,0.0,1.0,1.0,2750.0,2684.5,0.0149909090909091,0.0272279069767441,600,1.0,2750.0,2684.5,0.0272279069767441,0.2916666666666667,1.0,1.0
0.05,18000.0,size,6,600,30,0.0,0.0,1.0,1.0,6725.0,5536.5,0.0230133587786259,0.0315342105263157,600,1.0,6725.0,5536.5,0.0315342105263157,0.06333333333333334,1.0,1.0
0.05,18000.0,size,8,600,30,0.0,0.0,1.0,1.0,11500.0,10529.0,0.0229758064516129,0.0338337016574585,600,1.0,11500.0,10529.0,0.0338337016574585,0.0,1.0,1.0
0.05,18000.0,size,10,600,30,0.5283333333333333,0.5,0.5,1.0,19075.0,14025.416666666666,0.00935,0.0346259493670885,283,1.0,4450.0,7444.16961130742,0.0346259493670885,0.5,1.0,1.0
0.05,18000.0,size,12,600,30,0.5966666666666667,0.5616666666666666,0.43833333333333335,1.0,20000.0,14703.416666666666,0.0,0.035744736842105,242,1.0,5650.0,6924.380165289256,0.035744736842105,0.5616666666666666,1.0,1.0
0.05,18000.0,size,14,600,30,0.5983333333333334,0.5983333333333334,0.40166666666666667,1.0,20000.0,15284.083333333334,0.0,0.0471952380952375,241,1.0,5800.0,8259.128630705394,0.0471952380952375,0.5983333333333334,1.0,1.0
0.05,18000.0,algorithm,dj,600,30,0.0,0.0,1.0,1.0,3500.0,3388.5833333333335,0.0228006849315068,0.0418448275862065,600,1.0,3500.0,3388.5833333333335,0.0418448275862065,0.15333333333333332,1.0,1.0
0.05,18000.0,algorithm,qaoa,600,30,0.22333333333333333,0.16,0.84,1.0,12725.0,12052.666666666666,0.0248960674157304,0.0345529010238906,466,1.0,9050.0,9864.163090128755,0.0345529010238906,0.16,1.0,1.0
0.05,18000.0,algorithm,qft,600,30,0.5,0.5,0.5,1.0,18725.0,14953.916666666666,0.0088098837209302,0.0308447368421052,300,1.0,8550.0,9907.833333333334,0.0308447368421052,0.5,1.0,1.0
0.05,18000.0,algorithm,qnn,600,30,0.5,0.5,0.5,1.0,17750.0,14294.833333333334,0.0079,0.0279650326797385,300,1.0,7500.0,8589.666666666666,0.0279650326797385,0.5,1.0,1.0
0.05,18000.0,algorithm,random,600,30,0.5,0.5,0.5,1.0,18450.0,14319.0,0.004875,0.0297959016393442,300,1.0,7600.0,8638.0,0.0297959016393442,0.5416666666666666,1.0,1.0
0.05,18000.0,algorithm,vqe,600,30,0.0,0.0,1.0,1.0,3750.0,3753.9166666666665,0.0232833333333333,0.0471952380952375,600,1.0,3750.0,3753.9166666666665,0.0471952380952375,0.16,1.0,1.0
0.05,18000.0,backend,fake_fez,700,36,0.24285714285714285,0.24285714285714285,0.7571428571428571,1.0,7000.0,10101.5,0.0225133451957295,0.0430086206896546,530,1.0,4650.0,6926.509433962264,0.0430086206896546,0.3585714285714286,1.0,1.0
0.05,18000.0,backend,fake_kyiv,701,36,0.35235378031383735,0.3281027104136947,0.6718972895863052,1.0,8550.0,11231.88302425107,0.0158,0.0453978260869555,454,1.0,5700.0,6530.837004405286,0.0453978260869555,0.35520684736091296,1.0,1.0
0.05,18000.0,backend,fake_marrakesh,712,36,0.22612359550561797,0.22612359550561797,0.773876404494382,1.0,7350.0,9337.148876404495,0.0217827868852459,0.0406684210526312,551,1.0,3500.0,6221.5063520871145,0.0406684210526312,0.28370786516853935,1.0,1.0
0.05,18000.0,backend,fake_sherbrooke,732,36,0.29098360655737704,0.29098360655737704,0.7090163934426229,1.0,8050.0,10822.745901639344,0.0186116279069767,0.0471952380952375,519,1.0,5350.0,7056.358381502891,0.0471952380952375,0.35382513661202186,1.0,1.0
0.05,18000.0,backend,fake_torino,755,36,0.3218543046357616,0.29403973509933773,0.7059602649006622,1.0,7950.0,10785.23178807947,0.0188411764705882,0.042703459119496,512,1.0,4775.0,6438.4765625,0.042703459119496,0.32847682119205296,1.0,1.0
