circuit_key,algorithm,size,circuit_kind,config_id,scheme,k,subset_key,backends,backend_labels,weights,per_backend_shots,per_backend_last_stability_tvd,per_backend_stop_reason,per_backend_checks_performed,adaptive_shots_total,reference_shots_total,shots_saved,ssr,parallel_ssr,tvd,diversity_global,diversity_on_circuit,backend,trace_id,tvd_to_reference,shots,split_id,split_mode,repetition,split_role,stableshots_excluded_over_threshold,stableshots_reference_cap_used,stableshots_stopped,stableshots_success_le_0p05
dj_10_circuit,dj,10,circuit,b50_lb3_k5_eps0p005,uniform,1,fake_kyiv,"[""fake_kyiv""]","[""kyiv""]",[1.0],"{""fake_kyiv"": 4500}","{""fake_kyiv"": 0.003915708812260455}","{""fake_kyiv"": ""stable""}","{""fake_kyiv"": 87}",4500,20000,15500,0.775,0.775,0.0297333333333333,,,fake_kyiv,dj_10_fake_kyiv,0.0297333333333333,4500.0,backend_holdout_rep000,backend_holdout,0,test,False,False,True,True
dj_12_circuit,dj,12,circuit,b50_lb3_k5_eps0p005,uniform,1,fake_kyiv,"[""fake_kyiv""]","[""kyiv""]",[1.0],"{""fake_kyiv"": 6150}","{""fake_kyiv"": 0.0037764227642277035}","{""fake_kyiv"": ""stable""}","{""fake_kyiv"": 120}",6150,20000,13850,0.6925,0.6925,0.0318853658536585,,,fake_kyiv,dj_12_fake_kyiv,0.0318853658536585,6150.0,backend_holdout_rep000,backend_holdout,0,test,False,False,True,True
dj_14_circuit,dj,14,circuit,b50_lb3_k5_eps0p005,uniform,1,fake_fez,"[""fake_fez""]","[""fez""]",[1.0],"{""fake_fez"": 4650}","{""fake_fez"": 0.00402150537634402}","{""fake_fez"": ""stable""}","{""fake_fez"": 90}",4650,20000,15350,0.7675,0.7675,0.0308123655913979,,,fake_fez,dj_14_fake_fez,0.0308123655913979,4650.0,backend_holdout_rep000,backend_holdout,0,test,False,False,True,True
dj_4_circuit,dj,4,circuit,b50_lb3_k5_eps0p005,uniform,1,fake_torino,"[""fake_torino""]","[""torino""]",[1.0],"{""fake_torino"": 1250}","{""fake_torino"": 0.002872727272727338}","{""fake_torino"": ""stable""}","{""fake_torino"": 22}",1250,20000,18750,0.9375,0.9375,0.0075499999999999,,,fake_torino,dj_4_fake_torino,0.0075499999999999,1250.0,backend_holdout_rep000,backend_holdout,0,test,False,False,True,True
dj_6_circuit,dj,6,circuit,b50_lb3_k5_eps0p005,uniform,1,fake_sherbrooke,"[""fake_sherbrooke""]","[""sherbrooke""]",[1.0],"{""fake_sherbrooke"": 2150}","{""fake_sherbrooke"": 0.004872093023255822}","{""fake_sherbrooke"": ""stable""}","{""fake_sherbrooke"": 40}",2150,20000,17850,0.8925,0.8925,0.0186116279069767,,,fake_sherbrooke,dj_6_fake_sherbrooke,0.0186116279069767,2150.0,backend_holdout_rep000,backend_holdout,0,test,False,False,True,True
dj_8_circuit,dj,8,circuit,b50_lb3_k5_eps0p005,uniform,1,fake_marrakesh,"[""fake_marrakesh""]","[""marrakesh""]",[1.0],"{""fake_marrakesh"": 2600}","{""fake_marrakesh"": 0.003202511773940338}","{""fake_marrakesh"": ""stable""}","{""fake_marrakesh"": 49}",2600,20000,17400,0.87,0.87,0.012926923076923,,,fake_marrakesh,dj_8_fake_marrakesh,0.012926923076923,2600.0,backend_holdout_rep000,backend_holdout,0,test,False,False,True,True
qaoa_10_circuit,qaoa,10,circuit,b50_lb3_k5_eps0p005,uniform,1,fake_torino,"[""fake_torino""]","[""torino""]",[1.0],"{""fake_torino"": 16450}","{""fake_torino"": 0.004883733939992978}","{""fake_torino"": ""stable""}","{""fake_torino"": 326}",16450,20000,3550,0.1775,0.1775,0.0285171732522795,,,fake_torino,qaoa_10_fake_torino,0.0285171732522795,16450.0,backend_holdout_rep000,backend_holdout,0,test,False,False,True,True
qaoa_12_circuit,qaoa,12,circuit,b50_lb3_k5_eps0p005,uniform,1,fake_sherbrooke,"[""fake_sherbrooke""]","[""sherbrooke""]",[1.0],"{""fake_sherbrooke"": 20000}","{""fake_sherbrooke"": 0.004965994962216707}","{""fake_sherbrooke"": ""max_budget""}","{""fake_sherbrooke"": 397}",20000,20000,0,0.0,0.0,0.0,,,fake_sherbrooke,qaoa_12_fake_sherbrooke,0.0,20000.0,backend_holdout_rep000,backend_holdout,0,test,True,True,False,True
qaoa_14_circuit,qaoa,14,circuit,b50_lb3_k5_eps0p005,uniform,1,fake_torino,"[""fake_torino""]","[""torino""]",[1.0],"{""fake_torino"": 20000}","{""fake_torino"": 0.005089042821158898}","{""fake_torino"": ""max_budget""}","{""fake_torino"": 397}",20000,20000,0,0.0,0.0,0.0,,,fake_torino,qaoa_14_fake_torino,0.0,20000.0,backend_holdout_rep000,backend_holdout,0,test,True,True,False,True
qaoa_4_circuit,qaoa,4,circuit,b50_lb3_k5_eps0p005,uniform,1,fake_fez,"[""fake_fez""]","[""fez""]",[1.0],"{""fake_fez"": 2750}","{""fake_fez"": 0.004902097902097896}","{""fake_fez"": ""stable""}","{""fake_fez"": 52}",2750,20000,17250,0.8625,0.8625,0.0137727272727272,,,fake_fez,qaoa_4_fake_fez,0.0137727272727272,2750.0,backend_holdout_rep000,backend_holdout,0,test,False,False,True,True
