strategy,strategy_family,config_id,batch_size,lookback_batches,stability,epsilon,traces,success_rate,median_shots,mean_shots,p95_shots,max_shots,median_tvd,mean_tvd,p95_tvd,max_tvd,stable_stop_rate,max_budget_rate
fixed_1000,fixed,,,,,,180,0.2833333333333333,1000.0,1000.0,1000.0,1000.0,0.097975,0.24337972222222223,0.89074,0.89645,0.0,0.0
fixed_2500,fixed,,,,,,180,0.43333333333333335,2500.0,2500.0,2500.0,2500.0,0.06112499999999995,0.16896138888888887,0.745785,0.75515,0.0,0.0
fixed_5000,fixed,,,,,,180,0.5388888888888889,5000.0,5000.0,5000.0,5000.0,0.039599999999999955,0.11590805555555554,0.549825,0.5607500000000001,0.0,0.0
fixed_10000,fixed,,,,,,180,0.6666666666666666,10000.0,10000.0,10000.0,10000.0,0.02357499999999995,0.06667833333333331,0.3123375,0.32025,0.0,0.0
fixed_15000,fixed,,,,,,180,0.7611111111111111,15000.0,15000.0,15000.0,15000.0,0.0140333333333333,0.03870907407407402,0.18252416666666663,0.1860833333333333,0.0,0.0
fixed_18000,fixed,,,,,,180,0.8333333333333334,18000.0,18000.0,18000.0,18000.0,0.0074583333333332995,0.020826049382716,0.08794972222222214,0.0891,0.0,0.0
stable_shots_b50_lb1_k1_eps0p005,stable_shots,b50_lb1_k1_eps0p005,50.0,1.0,1.0,0.005,180,0.45,3600.0,4814.444444444444,10000.0,10000.0,0.05369395962227285,0.08514053888081179,0.3123375,0.32025,1.0,0.0
stable_shots_b50_lb1_k1_eps0p0025,stable_shots,b50_lb1_k1_eps0p0025,50.0,1.0,1.0,0.0025,180,0.9444444444444444,7275.0,9499.166666666666,19950.0,20000.0,0.02415249360613805,0.025257485159794424,0.05256527541944606,0.0661844262295082,1.0,0.0
stable_shots_b50_lb1_k1_eps0p001,stable_shots,b50_lb1_k1_eps0p001,50.0,1.0,1.0,0.001,180,1.0,17050.0,13401.111111111111,20000.0,20000.0,0.0067753968253967504,0.007857394395704782,0.023510605770763516,0.0281423076923077,0.5611111111111111,0.4388888888888889
stable_shots_b50_lb1_k2_eps0p005,stable_shots,b50_lb1_k2_eps0p005,50.0,1.0,2.0,0.005,180,0.4777777777777778,3925.0,5010.277777777777,10050.0,10050.0,0.0522869925136769,0.08311014850000223,0.3107728855721393,0.319094527363184,1.0,0.0
stable_shots_b50_lb1_k2_eps0p0025,stable_shots,b50_lb1_k2_eps0p0025,50.0,1.0,2.0,0.0025,180,0.9555555555555556,7700.0,9838.611111111111,20000.0,20000.0,0.02263936651583705,0.02323870719829493,0.048470399957788055,0.0619944444444444,0.9944444444444445,0.005555555555555556
stable_shots_b50_lb1_k2_eps0p001,stable_shots,b50_lb1_k2_eps0p001,50.0,1.0,2.0,0.001,180,1.0,18900.0,13933.055555555555,20000.0,20000.0,0.0038148550724637,0.006789717878889873,0.021667090487143582,0.025736462882096,0.5111111111111111,0.4888888888888889
stable_shots_b50_lb1_k3_eps0p005,stable_shots,b50_lb1_k3_eps0p005,50.0,1.0,3.0,0.005,180,0.48333333333333334,4325.0,5143.333333333333,10100.0,10100.0,0.05064999999999995,0.08163469465958137,0.30954955445544546,0.3182633663366336,1.0,0.0
stable_shots_b50_lb1_k3_eps0p0025,stable_shots,b50_lb1_k3_eps0p0025,50.0,1.0,3.0,0.0025,180,0.9666666666666667,7950.0,10071.666666666666,20000.0,20000.0,0.020888663644325352,0.02185435503077122,0.047502353336318824,0.0617253164556962,0.9222222222222223,0.07777777777777778
stable_shots_b50_lb1_k3_eps0p001,stable_shots,b50_lb1_k3_eps0p001,50.0,1.0,3.0,0.001,180,1.0,19550.0,14277.222222222223,20000.0,20000.0,0.0022704767136502,0.006080797672128105,0.018994878716744882,0.0227108108108107,0.5111111111111111,0.4888888888888889
stable_shots_b50_lb1_k5_eps0p005,stable_shots,b50_lb1_k5_eps0p005,50.0,1.0,5.0,0.005,180,0.5333333333333333,4500.0,5347.5,10200.0,10200.0,0.0479775689223057,0.0797890191452291,0.3073915196078431,0.3155627450980392,1.0,0.0
stable_shots_b50_lb1_k5_eps0p0025,stable_shots,b50_lb1_k5_eps0p0025,50.0,1.0,5.0,0.0025,180,0.9777777777777777,8500.0,10360.833333333334,20000.0,20000.0,0.0200402159244264,0.020267584287143207,0.043244835177114686,0.0559492882562277,0.9166666666666666,0.08333333333333333
